,encoding_name,fname,auc,,,,,,,,,
93,phones_#_Dictio_20,coronal_dorsal,0.4479166667,,,,,,,,,
94,phones_#_Dictio_20,coronal_labial,0.6034210526,,,,,,,,,
95,phones_#_Dictio_20,labial_dorsal,0.6326388889,,,,,,,,,
96,phones_#_Dictio_20,voice,0.6451201201,,,,,,,,,
97,phones_#_Dictio_25,nasal,0.4604166667,,,,,,,,,
98,phones_#_Dictio_25,continuant,0.639957265,,,,,,,,,
99,phones_#_Dictio_25,coronal_dorsal,0.4395833333,,,,,,,,,
100,phones_#_Dictio_25,coronal_labial,0.6194736842,,,,,,,,,
101,phones_#_Dictio_25,labial_dorsal,0.7326388889,,,,,,,,,
102,phones_#_Dictio_25,voice,0.6856606607,,,,,,,,,
103,phones_#_Dictio_30,nasal,0.4701388889,,,,,,,,,
104,phones_#_Dictio_30,continuant,0.5523504274,,,,,,,,,
105,phones_#_Dictio_30,coronal_dorsal,0.4548611111,,,,,,,,,
106,phones_#_Dictio_30,coronal_labial,0.5997368421,,,,,,,,,
107,phones_#_Dictio_30,labial_dorsal,0.6826388889,,,,,,,,,
108,phones_#_Dictio_30,voice,0.6649399399,,,,,,,,,
109,phones_#_Real_5,nasal,0.6534722222,,,,,,,,,
110,phones_#_Real_5,continuant,0.4342948718,,,,,,,,,
111,phones_#_Real_5,coronal_dorsal,0.4479166667,,,,,,,,,
112,phones_#_Real_5,coronal_labial,0.7977631579,,,,,,,,,
113,phones_#_Real_5,labial_dorsal,0.8604166667,,,,,,,,,
114,phones_#_Real_5,voice,0.8838588589,,,,,,,,,
115,phones_#_Real_10,nasal,0.5951388889,,,,,,,,,
116,phones_#_Real_10,continuant,0.4722222222,,,,,,,,,
117,phones_#_Real_10,coronal_dorsal,0.4395833333,,,,,,,,,
118,phones_#_Real_10,coronal_labial,0.6563157895,,,,,,,,,
119,phones_#_Real_10,labial_dorsal,0.8979166667,,,,,,,,,
120,phones_#_Real_10,voice,0.5734984985,,,,,,,,,
121,phones_#_Real_15,nasal,0.5604166667,,,,,,,,,
122,phones_#_Real_15,continuant,0.5795940171,,,,,,,,,
123,phones_#_Real_15,coronal_dorsal,0.4548611111,,,,,,,,,
124,phones_#_Real_15,coronal_labial,0.6415789474,,,,,,,,,
125,phones_#_Real_15,labial_dorsal,0.9159722222,,,,,,,,,
126,phones_#_Real_15,voice,0.6978228228,,,,,,,,,
127,phones_#_Real_20,nasal,0.7006944444,,,,,,,,,
128,phones_#_Real_20,continuant,0.6479700855,,,,,,,,,
129,phones_#_Real_20,coronal_dorsal,0.56875,,,,,,,,,
130,phones_#_Real_20,coronal_labial,0.7128947368,,,,,,,,,
131,phones_#_Real_20,labial_dorsal,0.8506944444,,,,,,,,,
132,phones_#_Real_20,voice,0.670045045,,,,,,,,,
133,phones_#_Real_25,nasal,0.6354166667,,,,,,,,,
134,phones_#_Real_25,continuant,0.6485042735,,,,,,,,,
135,phones_#_Real_25,coronal_dorsal,0.4868055556,,,,,,,,,
136,phones_#_Real_25,coronal_labial,0.6718421053,,,,,,,,,
137,phones_#_Real_25,labial_dorsal,0.8590277778,,,,,,,,,
138,phones_#_Real_25,voice,0.6620870871,,,,,,,,,
139,phones_#_Real_30,nasal,0.6826388889,,,,,,,,,
140,phones_#_Real_30,continuant,0.6554487179,,,,,,,,,
141,phones_#_Real_30,coronal_dorsal,0.4631944444,,,,,,,,,
142,phones_#_Real_30,coronal_labial,0.6213157895,,,,,,,,,
143,phones_#_Real_30,labial_dorsal,0.7451388889,,,,,,,,,
144,phones_#_Real_30,voice,0.6581831832,,,,,,,,,
