,encoding_name,fname,auc,,,,,,,,,
1,phones_dictio_5,nasal,0.7923611111,,,,,,,,,
2,phones_dictio_5,continuant,0.6298076923,,,,nasal,continuant,coronal_dorsal,coronal_labial,labial_dorsal,voice
3,phones_dictio_5,coronal_dorsal,0.5048611111,,,phones_dictio_25,0.4465277778,0.3974358974,0.4270833333,0.6992105263,0.7229166667,0.6191441441
4,phones_dictio_5,coronal_labial,0.6671052632,,,phones_real_25,0.6104166667,0.5742521368,0.7854166667,0.72,0.8381944444,0.7198948949
5,phones_dictio_5,labial_dorsal,0.7645833333,,,phones_#_Dictio_25,0.3493055556,0.4855769231,0.6784722222,0.6689473684,0.8215277778,0.6817567568
6,phones_dictio_5,voice,0.4386636637,,,phones_#_Real_25,0.8020833333,0.6431623932,0.8159722222,0.6715789474,0.89375,0.6385135135
7,phones_dictio_10,nasal,0.2618055556,,,,,,,,,
8,phones_dictio_10,continuant,0.4989316239,,,,,,,,,
9,phones_dictio_10,coronal_dorsal,0.4076388889,,,,,,,,,
10,phones_dictio_10,coronal_labial,0.6821052632,,,,,,,,,
11,phones_dictio_10,labial_dorsal,0.49375,,,,,,,,,
12,phones_dictio_10,voice,0.593018018,,,,,,,,,
13,phones_dictio_15,nasal,0.44375,,,,,,,,,
14,phones_dictio_15,continuant,0.6271367521,,,,,,,,,
15,phones_dictio_15,coronal_dorsal,0.4104166667,,,,,,,,,
16,phones_dictio_15,coronal_labial,0.5181578947,,,,,,,,,
17,phones_dictio_15,labial_dorsal,0.7326388889,,,,,,,,,
18,phones_dictio_15,voice,0.5703453453,,,,,,,,,
19,phones_dictio_20,nasal,0.6006944444,,,,,,,,,
20,phones_dictio_20,continuant,0.5363247863,,,,,,,,,
21,phones_dictio_20,coronal_dorsal,0.5034722222,,,,,,,,,
22,phones_dictio_20,coronal_labial,0.6055263158,,,,,,,,,
23,phones_dictio_20,labial_dorsal,0.71875,,,,,,,,,
24,phones_dictio_20,voice,0.5837087087,,,,,,,,,
25,phones_dictio_25,nasal,0.4465277778,,,,,,,,,
26,phones_dictio_25,continuant,0.3974358974,,,,,,,,,
27,phones_dictio_25,coronal_dorsal,0.4270833333,,,,,,,,,
28,phones_dictio_25,coronal_labial,0.6992105263,,,,,,,,,
29,phones_dictio_25,labial_dorsal,0.7229166667,,,,,,,,,
30,phones_dictio_25,voice,0.6191441441,,,,,,,,,
31,phones_dictio_30,nasal,0.6743055556,,,,,,,,,
32,phones_dictio_30,continuant,0.6314102564,,,,,,,,,
33,phones_dictio_30,coronal_dorsal,0.4923611111,,,,,,,,,
34,phones_dictio_30,coronal_labial,0.6271052632,,,,,,,,,
35,phones_dictio_30,labial_dorsal,0.6131944444,,,,,,,,,
36,phones_dictio_30,voice,0.646021021,,,,,,,,,
37,phones_real_5,nasal,0.8506944444,,,,,,,,,
38,phones_real_5,continuant,0.4102564103,,,,,,,,,
39,phones_real_5,coronal_dorsal,0.4631944444,,,,,,,,,
40,phones_real_5,coronal_labial,0.5081578947,,,,,,,,,
41,phones_real_5,labial_dorsal,0.78125,,,,,,,,,
42,phones_real_5,voice,0.5337087087,,,,,,,,,
43,phones_real_10,nasal,0.7826388889,,,,,,,,,
44,phones_real_10,continuant,0.5357905983,,,,,,,,,
45,phones_real_10,coronal_dorsal,0.8659722222,,,,,,,,,
46,phones_real_10,coronal_labial,0.7006578947,,,,,,,,,
47,phones_real_10,labial_dorsal,0.8979166667,,,,,,,,,
48,phones_real_10,voice,0.553978979,,,,,,,,,
49,phones_real_15,nasal,0.4993055556,,,,,,,,,
50,phones_real_15,continuant,0.7297008547,,,,,,,,,
51,phones_real_15,coronal_dorsal,0.5798611111,,,,,,,,,
52,phones_real_15,coronal_labial,0.6894736842,,,,,,,,,
53,phones_real_15,labial_dorsal,0.5534722222,,,,,,,,,
54,phones_real_15,voice,0.5518768769,,,,,,,,,
55,phones_real_20,nasal,0.6965277778,,,,,,,,,
56,phones_real_20,continuant,0.6079059829,,,,,,,,,
57,phones_real_20,coronal_dorsal,0.7701388889,,,,,,,,,
58,phones_real_20,coronal_labial,0.6305263158,,,,,,,,,
59,phones_real_20,labial_dorsal,0.7881944444,,,,,,,,,
60,phones_real_20,voice,0.6978228228,,,,,,,,,
61,phones_real_25,nasal,0.6104166667,,,,,,,,,
62,phones_real_25,continuant,0.5742521368,,,,,,,,,
63,phones_real_25,coronal_dorsal,0.7854166667,,,,,,,,,
64,phones_real_25,coronal_labial,0.72,,,,,,,,,
65,phones_real_25,labial_dorsal,0.8381944444,,,,,,,,,
66,phones_real_25,voice,0.7198948949,,,,,,,,,
67,phones_real_30,nasal,0.6465277778,,,,,,,,,
68,phones_real_30,continuant,0.6378205128,,,,,,,,,
69,phones_real_30,coronal_dorsal,0.7659722222,,,,,,,,,
70,phones_real_30,coronal_labial,0.6873684211,,,,,,,,,
71,phones_real_30,labial_dorsal,0.8034722222,,,,,,,,,
72,phones_real_30,voice,0.6943693694,,,,,,,,,
73,phones_#_Real_5,nasal,0.5868055556,,,,,,,,,
74,phones_#_Real_5,continuant,0.4706196581,,,,,,,,,
75,phones_#_Real_5,coronal_dorsal,0.5534722222,,,,,,,,,
76,phones_#_Real_5,coronal_labial,0.6286842105,,,,,,,,,
77,phones_#_Real_5,labial_dorsal,0.4131944444,,,,,,,,,
78,phones_#_Real_5,voice,0.4356606607,,,,,,,,,
79,phones_#_Real_10,nasal,0.6784722222,,,,,,,,,
80,phones_#_Real_10,continuant,0.5897435897,,,,,,,,,
81,phones_#_Real_10,coronal_dorsal,0.7076388889,,,,,,,,,
82,phones_#_Real_10,coronal_labial,0.6511842105,,,,,,,,,
83,phones_#_Real_10,labial_dorsal,0.7520833333,,,,,,,,,
84,phones_#_Real_10,voice,0.5957207207,,,,,,,,,
85,phones_#_Real_15,nasal,0.6284722222,,,,,,,,,
86,phones_#_Real_15,continuant,0.7676282051,,,,,,,,,
87,phones_#_Real_15,coronal_dorsal,0.60625,,,,,,,,,
88,phones_#_Real_15,coronal_labial,0.7042105263,,,,,,,,,
89,phones_#_Real_15,labial_dorsal,0.8354166667,,,,,,,,,
90,phones_#_Real_15,voice,0.693018018,,,,,,,,,
91,phones_#_Real_20,nasal,0.5840277778,,,,,,,,,
92,phones_#_Real_20,continuant,0.7612179487,,,,,,,,,
93,phones_#_Real_20,coronal_dorsal,0.4631944444,,,,,,,,,
94,phones_#_Real_20,coronal_labial,0.6865789474,,,,,,,,,
95,phones_#_Real_20,labial_dorsal,0.7451388889,,,,,,,,,
96,phones_#_Real_20,voice,0.7595345345,,,,,,,,,
97,phones_#_Real_25,nasal,0.8020833333,,,,,,,,,
98,phones_#_Real_25,continuant,0.6431623932,,,,,,,,,
99,phones_#_Real_25,coronal_dorsal,0.8159722222,,,,,,,,,
100,phones_#_Real_25,coronal_labial,0.6715789474,,,,,,,,,
101,phones_#_Real_25,labial_dorsal,0.89375,,,,,,,,,
102,phones_#_Real_25,voice,0.6385135135,,,,,,,,,
103,phones_#_Real_30,nasal,0.5409722222,,,,,,,,,
104,phones_#_Real_30,continuant,0.6586538462,,,,,,,,,
105,phones_#_Real_30,coronal_dorsal,0.6993055556,,,,,,,,,
106,phones_#_Real_30,coronal_labial,0.7007894737,,,,,,,,,
107,phones_#_Real_30,labial_dorsal,0.8618055556,,,,,,,,,
108,phones_#_Real_30,voice,0.6774024024,,,,,,,,,
109,phones_#_Dictio_25,nasal,0.3493055556,,,,,,,,,
110,phones_#_Dictio_25,continuant,0.4855769231,,,,,,,,,
111,phones_#_Dictio_25,coronal_dorsal,0.6784722222,,,,,,,,,
112,phones_#_Dictio_25,coronal_labial,0.6689473684,,,,,,,,,
113,phones_#_Dictio_25,labial_dorsal,0.8215277778,,,,,,,,,
114,phones_#_Dictio_25,voice,0.6817567568,,,,,,,,,
