label, c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30
iy,-0.28257881044,-0.336234057791,-0.238376868897,-0.345216239359,-0.244161503341,-0.16887214453,-0.108206944674,-0.292070975215,0.303678607123,0.378854796724,-0.323858688268,-0.431856752073,0.267065164882,-0.291734711182,0.45294442264,0.342884869529,-0.402696102091,-0.403298784923,0.206743224075,-0.357175651446,-0.340552602104,-0.0876906671969,-0.37101937248,-0.332871287857,-0.31248615418,0.23377834639,0.202608347501,0.319645290044,-0.3874099253,-0.344305701472
aa,0.317387898064,-0.381906736863,0.422282300519,-0.218343695431,0.367817288615,0.267864857443,-0.239034529226,0.190295443542,0.388431392881,0.353206295995,0.118855785442,-0.356678704878,-0.216722997445,0.347602130996,-0.134014410983,0.275743911488,-0.344329072861,-0.34420030866,-0.446561957702,-0.298036309231,-0.0657315608909,-0.271558468952,0.269055116103,-0.352970055929,-0.317109319333,0.00411256834446,0.102178618641,-0.206811983734,-0.410715272944,-0.0396885901174
en,0.0784602878068,0.0296646410252,0.188525526167,0.0706172848727,-0.0467160786998,0.0201009366894,0.0987974628786,-0.0293609060211,-0.0796819369347,-0.0718575238819,0.0108074223629,0.18539509583,0.021434215061,-0.145967360582,0.195552903701,0.00362596693134,0.0503062318272,0.0513262520438,0.0387869859188,0.0182879642074,0.154332138342,0.041306900045,0.118860612736,0.0460087824668,0.00731968298575,0.0828306533932,0.0258421853547,0.115446826383,-0.0954041294618,-0.0269609056478
ae,0.36156144885,-0.418880205429,0.33162655143,0.233692909736,-0.327535521309,-0.321810582565,0.362108981386,0.413775610281,-0.355294632489,0.396518037895,-0.159936606908,-0.397141905819,-0.30125838921,-0.247995687579,0.264473175078,0.383680457437,-0.410710466929,-0.410951091168,-0.445151324906,-0.436510552333,-0.339593491768,0.23128103994,0.354662847358,0.204103236231,-0.318797281006,-0.268578592029,0.299413935405,-0.286906157777,-0.417615086477,-0.269591800952
eh,0.23916754474,-0.353346926502,0.465109558584,-0.384795060672,-0.399703859651,0.111288118692,0.102228684303,0.324064445415,-0.3960490774,0.346910685507,0.312044041578,-0.370271420455,-0.420057240078,0.437809356436,-0.247043371864,0.44117973775,-0.390161997849,-0.390625041685,-0.108661970962,-0.271204226916,-0.352067036701,0.20921931016,0.301521411599,-0.244288581987,-0.298490295625,0.390477947016,0.275116095633,-0.410089906215,-0.397981982317,0.131214570635
el,0.0438567701114,-0.112461153196,-0.210852579529,0.0601817790162,0.175955443173,-0.149867070301,-0.302608682616,-0.117611283597,0.295754665252,0.0847897772081,0.137306625503,-0.0459483756669,0.134481816524,-0.190075190913,0.104365010898,0.0984622586442,-0.0519764582438,-0.0502506947454,0.0316018177529,-0.0640321927383,0.0154935588526,-0.108946252942,0.0131080097542,-0.0273655950985,0.0955962265732,0.0441004050964,0.177822218099,0.0938251935246,-0.0947282788317,-0.122822156347
ah,0.413944093752,-0.3492505097,0.476173765098,-0.443840389948,-0.342677098338,-0.381226307049,0.0336660638829,-0.29556311357,-0.323111891684,0.370757991653,0.428980956016,0.237586767074,-0.0171441700427,0.368052348916,0.352038075371,0.0897843566543,-0.368658072157,-0.369653413726,-0.399680267684,-0.373359551951,-0.259305170629,-0.425108357548,0.168120797182,-0.445524252022,-0.136762577276,0.276811779036,0.288978665895,0.237383399005,-0.465657682694,0.340324339931
ahn,0.0435813244065,-0.00490250731639,0.10410002769,0.0428629286632,0.00732262391175,0.00648475800287,-0.0471135415405,0.0274409069811,0.0157991355569,-0.00529827006378,-0.00573620218719,0.0422438913882,0.0266471434657,-0.0191817655244,0.0325566116966,0.0214083963545,0.0165510201219,0.0166559442867,-0.0412781564256,-0.0540169529303,0.0605839505416,0.0137583462474,0.0988273854075,-0.0137498449692,-0.0443862145488,0.0349875413751,-0.0947738996984,0.0866237204969,-0.0692830148102,0.0466721816058
ow,-0.263118623263,-0.278071961448,0.223963719018,-0.235907513026,0.431997368625,0.353223610269,-0.379615911555,-0.215498244148,-0.357263597802,0.230523085207,-0.285716703756,-0.031886667653,-0.157897896791,0.30564007743,0.401041398765,0.350043275282,-0.283291670114,-0.283703445665,-0.286697592493,-0.335484887793,0.408496691981,-0.00249569109824,-0.26264828732,-0.329016337528,0.256445718055,-0.181649089126,0.247236155978,-0.279037378117,-0.310843952166,0.270043552795
ao,0.294883530564,-0.319471149685,0.23503860048,-0.42502622698,0.319893259609,0.408682519057,-0.22433388283,0.401114857794,0.313952856506,0.269107671757,0.400083931981,-0.371078770148,-0.116706781806,0.209320474309,0.0912749655009,0.350598977415,-0.286395573031,-0.285901664678,0.299792294113,-0.254852987824,-0.0158881689642,-0.160763426807,0.173042758901,-0.360158673985,-0.291208744901,0.262756055739,-0.31284442811,-0.206987063542,-0.20743987206,0.327354679549
