label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
iy,-0.0527945068359,-0.563494238334,-1.19122045183,0.153915047317,-0.659102345234,-0.224321319662,0.618332551518,-0.83251732305,0.803362298754,-0.222241833358
aa,0.241180227794,0.273084085014,-0.00645376916617,0.171144625842,-0.69406024492,0.76952814466,0.459959472936,-1.1357673859,0.683947719382,0.844412131569
en,0.821673696878,-0.24908068565,-0.756811625829,0.551918244204,0.284348743661,-0.0895543624599,0.264305092646,0.22517727156,0.00964700584982,0.157143070824
ae,0.649205100902,0.674981882892,-0.976585826335,1.00963694097,-0.521062602071,0.684991195208,0.881950762113,-0.00859684848327,1.20586259186,-0.00383880358229
eh,0.840518855862,0.261973716703,-0.723560545586,0.0760809628008,-1.13779446321,1.11026219188,0.690707326445,-0.674670492197,0.551555346127,0.661160716403
el,0.373634585687,-0.315915673626,-0.397774420225,0.182788719463,0.16905220513,-0.659801022763,0.626883577887,-0.967436214652,-0.216276125661,-0.57843076123
ah,0.787649835455,-0.392319854515,-0.590312510963,0.865320449312,-0.942295928384,0.48332176641,-0.209328296217,-1.07142899192,0.461371630652,0.754571191745
ahn,0.336139889392,0.00157775147399,-0.308986199375,0.168209796329,-0.200960119302,-0.0220899099909,0.181426503262,-0.347770830248,0.103669268443,0.253995112597
ow,0.726309080206,-0.196243310858,-0.611943023133,-0.555366610409,0.178418979898,0.928954893026,0.645234783267,-0.900897232482,0.625292710327,0.497157539219
ao,-0.0658178289675,-0.20164135334,0.0765742653373,-0.206032734198,-1.05156098775,0.627313440077,1.04946527229,-0.528359023593,0.172334672036,0.716381209733
w,-0.87519401575,0.101290816862,0.763124568593,-0.0397254291962,0.544780198032,0.981711113302,0.780232274191,0.864561283762,0.197323276809,-0.759795913745
ih,1.12772419153,-0.35591124861,-0.78018380383,0.540524937145,-1.01081884041,0.368502103751,1.16168625768,0.144026101835,0.138251984444,0.864470793147
ch,-0.371713662381,0.239069809429,-0.388250420863,-1.01649474123,0.190572647372,0.307640503394,-0.31565285631,-0.126573962243,-0.399761284593,-0.468292557899
ey,0.533017947326,0.34151434804,-0.994185735078,0.386756984299,-0.754299897135,-0.0808994308584,0.0293200352509,-0.382436896663,0.658306727359,0.416185744548
aw,0.620933987631,0.167267085095,-0.464180477588,0.471998479708,0.0646945657621,0.626796161835,0.58681503694,-0.373818574911,0.936556699265,0.0628054830017
ay,-0.650322153633,0.615218208154,-0.804710034814,0.629567963252,-0.7647310417,0.207761862552,0.133462716293,-0.392033930618,1.03687023424,0.83856109842
zh,-0.115572989777,-0.0336781346984,-0.0562208283144,-0.481478055851,0.427194047333,-0.0387544979261,-0.1763836014,-0.00114325590966,0.0570990022421,0.132439402421
tq,0.421784260218,-0.389327320034,-0.550362650755,-0.814074470807,0.751381733002,-0.876880303777,-1.01331897994,-0.351777631403,-0.21856691095,0.56412121468
er,0.953502534359,0.536838107049,-0.426825238257,0.429565272085,-0.199603299393,-0.317138498605,0.567939774591,-0.901413933441,-0.0413210776953,0.0135619718897
#,1.21944397568,0.00402551295602,0.783384682215,-1.14147333531,-1.14211589643,-0.89209013002,-0.710546085477,0.947975318543,1.03856139314,-0.940332404281
ayn,0.170133894164,0.0674288277761,-0.175973270963,0.0468124301368,-8.71919730078e-05,0.0521828113756,0.105064730392,-0.163583604645,0.16611076426,0.157288881916
eng,0.180601278428,0.0116363609718,-0.256060638055,-0.0190492788433,0.117169155086,-0.0658443252722,0.0799900947124,-0.060327705924,0.0449396733539,0.183119666159
aan,0.272652378926,0.109221722564,-0.196696221844,0.132296289002,-0.174833569083,0.127086331633,0.114944015937,-0.295864362331,0.0359827142802,0.161511901922
eyn,0.213604651067,0.0270070620428,-0.208697190194,0.0559522054375,-0.0749033102709,0.118129868997,0.136324789882,-0.095377282495,0.122784874133,0.115236933749
nx,-0.700054475629,0.294874633084,0.441628282161,-0.141696339817,0.730412750768,-0.796301225854,-0.750089813641,0.545635443977,-0.737977271358,0.472016774125
oyn,0.178839937015,0.0827611501767,-0.144937178127,0.0637954371229,0.0128339746699,0.117875193841,0.120925560388,-0.146591798123,0.0590569584119,0.0833380590375
r,0.561717477497,0.727706271869,0.781806820617,0.772772172103,0.548440759226,-0.629604071538,0.610420923415,-0.354121983089,-0.921217552533,-0.393044032022
th,-0.656796968013,0.320569687117,-0.166210944686,-0.569737527896,0.304205936746,0.366147300951,-0.32813263431,0.0304008097525,-0.190929630707,-0.131619744449
t,0.662984953267,0.457496769802,-0.809190474736,-0.701401821933,0.90866608585,0.623201801781,-0.778109134406,-0.213904311498,-0.580746844711,-0.570855952079
ehn,0.300642184644,0.1254245604,-0.362237461889,0.160725436013,-0.0939219483762,0.104689119067,0.149906177692,-0.268097095802,0.137917900868,0.218631433195
<,0.413108957621,-0.0673301935876,0.156648905691,-0.326249067004,-0.125185044363,-0.216565800089,0.00249798931998,0.119854953136,0.00120914519582,-0.289388006551
>,0.29583277696,-0.204419483732,0.219303278942,-0.241264742673,-0.179755908734,-0.0388442165485,0.0310919928017,0.25635458908,0.0390186374243,-0.219492893836
ng,0.247204449951,0.789334464831,-0.945172289425,-0.823711613103,0.82013489269,-1.08280086736,0.689291145353,0.883721637686,-0.207572250655,0.955266174135
dh,-1.04958738818,0.836983187116,0.237299024647,0.7094702352,0.986677113478,0.427216674473,-1.04661646719,0.215938762037,0.419740829986,-0.866730403954
uhn,0.135942382685,0.0361411490301,-0.159827681597,-0.00409442352103,0.0686341296776,0.0957031911571,0.0387407793679,-0.0815558367833,0.0479445730196,0.0977667817433
aon,0.105585709463,0.0539627586682,-0.186926764172,-0.0170895224394,0.0392636861704,0.136619637651,0.0806122709283,-0.15151787799,0.0530547663218,0.146308819112
aen,0.327281798474,0.109243960042,-0.0718444980137,0.335053472181,-0.057377033148,0.313387072054,0.197567045113,-0.0546620541188,0.335732007315,0.211495557574
awn,0.192326097634,0.0223879832176,-0.222713693938,0.0145665187399,0.0221389334774,0.100330099987,0.0885572186377,-0.0974464072808,0.172165806838,0.158191030346
hh,-0.649953234697,-0.228532123382,0.872034017341,0.734723931623,-0.594143007506,0.628843632768,-1.02635557693,-0.0355213194226,-0.758501718252,-0.887417111149
jh,-0.263274333783,0.333333095989,0.35665925974,-0.64160865178,0.630433590928,0.460409206382,-0.422611106992,-0.0117411498291,-0.123440345897,-0.0914303843625
ahl,0.118947801372,0.0408225259283,-0.157508385327,-0.0181685819216,0.0610615221682,0.0985783237228,0.00698208373827,-0.0569452745437,0.0329989601913,0.0924903919308
dx,-1.03114019715,-0.262160881256,0.297649791342,-0.748380377482,0.915282608535,-0.451244182607,-0.725503674891,0.0468434766481,-0.55106238237,0.43514897513
own,0.556447949475,-0.237125677562,-0.400639665689,0.209629823494,0.202525992464,0.271692766081,0.537663769686,-0.388602787866,0.281582314108,0.431246508711
em,0.357901379315,-0.370200982875,-0.671185771824,0.568980170564,0.447415354866,0.406260388661,0.0301912154485,-0.219732850487,0.77185247744,-0.879113745498
iyih,0.121610088605,0.0375591436387,-0.155684202485,-0.0199250132641,0.0549192413485,0.0966351650862,0.00707296568033,-0.0525654312526,0.0360169416939,0.0883846075877
b,-0.702327589771,-0.907976627693,0.496890393813,-0.239958113459,0.129150190432,0.473496106643,-0.438015815039,0.39714505618,-0.443998537178,-0.325856731104
d,0.000840897978897,0.21307228324,0.200682736358,-0.713151711048,0.782486210797,0.118414276796,-0.791551498471,-0.336702200081,-0.162038678513,0.52216146433
g,-0.348937513521,0.730212954574,0.4470857291,-0.667956687287,0.203540776531,0.63504181683,-0.461082757864,0.812482586684,-0.746250403003,0.518673475265
f,-0.513049474734,0.360641902268,-0.413767295055,-0.75571168303,0.137973889014,0.453724407313,-0.343607809111,0.715741683807,-0.728402221621,-0.0705673206431
h,0.10872432061,0.0451363392225,-0.155943976023,-0.0206091224611,0.0658381284429,0.108646606235,0.00466321989219,-0.0525074369458,0.0332724794818,0.0858783643992
k,0.654976931211,-0.3408320324,-0.0526448807782,-0.813930599315,0.692151442667,0.88539634687,-1.03030099013,0.664033713699,-0.599435787863,0.517508506334
iyn,0.0675735479079,-0.0773818683592,-0.291253456361,-0.0345193782538,-0.00104535140109,0.0100543776306,0.0810739986316,-0.170709766902,0.177238357691,0.148149925456
m,0.201036883875,-0.842635868139,-0.255293211993,0.526964185894,0.525365550066,0.00697681348522,-0.952373842664,0.921657987745,-0.469721274923,-0.360219567913
l,0.29265127188,0.109467555195,0.0622000668453,0.322364328217,0.59551566649,-0.202608297906,0.490805521869,0.299091823461,-0.832718839043,-0.773396851943
o,0.118947808632,0.0408225332153,-0.157508390789,-0.018168592054,0.0610615179915,0.0985783280399,0.00698208226199,-0.0569452717892,0.0329989551456,0.0924903856541
n,0.207565183518,0.717742180974,-0.258458896127,0.548164285072,0.202878320661,-0.447630328333,-0.83200935175,0.789157935546,-0.932201389223,0.436240313832
p,-0.797795957612,-0.753386082069,-0.295676355086,-0.623229645657,-0.230039865876,0.438174387461,-0.298087671151,0.605551579059,-0.899047871148,-0.294610732028
s,-0.1544042056,0.237154061468,0.679846609783,0.718613686894,0.970418735035,-0.520925770905,-0.416957280471,0.803781263679,0.66122202645,0.904841991373
sh,-0.0886127636485,-0.443910116655,0.720948544095,-0.474753509851,0.80451586293,0.126154593521,0.0788802590285,0.226385404533,-0.28637025423,0.377286063762
uh,0.27145614743,0.458018535197,-0.268306258675,0.682227519406,-0.972511827262,-0.284676420513,0.741548013756,-0.541394452324,-0.168113478591,0.482158791355
oy,0.392648136097,-0.00911350918158,-0.282854960662,0.21360021754,-0.30999035177,-0.00225691962318,0.440911570647,-0.447215835633,0.0361893603343,-0.109458647665
v,-0.809530999377,0.0670327925082,-0.465063619117,-0.679252953159,-0.0333898475025,-0.275824995367,-0.651610706186,0.3245385046,-0.744117686828,0.0452789360279
y,-0.528707527602,0.774529097821,0.908201046158,-0.241215894417,0.572159123897,0.911137353138,-0.538863045747,-1.14962897681,0.19774123544,-0.792862616918
ihn,0.407980085273,0.0297780507942,-0.375205257264,0.142286156473,-0.147888382116,-0.0828064907715,0.40480289081,-0.0359529258825,0.229081149571,0.251687705275
z,-0.247635688645,-0.467104199457,-0.380941804653,-0.559532817201,0.589007278881,-0.779130202877,-0.186948980905,0.4060885959,0.290814572009,0.362016211087
uw,0.707698645832,-0.88176049693,-0.0165632726539,0.509033532302,0.221851414446,-0.256748575935,0.872692355084,-0.503344071709,1.05640505364,0.606064923996
uwn,0.152311437578,0.0303985079152,-0.126053529957,-0.011094701688,0.0511594498477,0.0516877982855,0.048243304891,-0.0724990868839,0.0828770072342,0.0857570055855
