label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30
iy,-0.388385183045,-0.10820906202,0.592219197919,-0.132470604493,-0.410708704872,0.428671971312,0.0337054720702,0.367699826878,0.536191991483,0.441905612036,0.489164096885,0.441143515008,0.00681405947931,-0.467602565019,0.475322804734,0.508008872906,-0.482248855131,-0.0359946223443,-0.403809415384,-0.703272389473,-0.428603309641,0.464721945938,-0.442591317237,-0.625706286666,-0.481074850847,0.115872755743,0.666802256826,0.355510995949,0.447830326852,0.275861619684
aa,0.616589207503,-0.528767531762,0.55199072233,0.124777258247,0.522581086167,0.592808114167,-0.161508833351,0.313200707115,-0.536983035423,0.555590981553,-0.266787822995,-0.065867764052,-0.508898944051,0.598844098489,-0.42582519857,0.408116468219,-0.257292894636,-0.162775262329,0.188639444958,-0.612388659633,-0.406599405487,0.500079573368,-0.209643238363,-0.643080042675,-0.247560223584,-0.345261743842,0.621583829217,0.168521662187,0.461926078287,0.551638042862
en,-0.118433996638,-0.13318475921,0.525744111282,0.245800927847,-0.389173689963,-0.371932592943,-0.38459340517,0.469006988089,0.118024609241,0.346531988399,-0.248142889898,0.47707841044,-0.471050203619,-0.338052532499,-0.159527157629,-0.25523565539,-0.309608251191,-0.488099768248,0.0877088146506,0.348255893487,0.196859625191,0.125553485355,0.378924591463,-0.368926321674,-0.229939149417,0.0988471147868,-0.413579021013,0.374080305616,0.0549889180465,0.00570006991624
ae,0.519257849212,0.0130838971643,0.604245361335,-0.164971629163,-0.318038994111,0.483822625734,-0.119149720886,0.431880012993,-0.607246949422,0.344585309696,-0.572814279541,0.638591596768,-0.473759075893,-0.469306584686,0.518002635306,0.475843401188,-0.151369176523,-0.509597887532,-0.11455833533,-0.647401074566,0.047074219212,0.636833532671,-0.200769294359,0.232998409215,-0.612206756078,-0.273872014785,0.535224682925,-0.493712133577,-0.465761374374,0.361450237617
eh,0.640954810576,-0.598018403447,0.573401345421,-0.491231307319,0.177808949176,-0.0239832446312,-0.134743671468,0.487689575482,-0.639189530596,0.492737682642,0.504512220348,0.104626032002,-0.696976022144,0.0258474672504,0.0795374449862,0.618300812855,-0.0643295815723,-0.642757690612,-0.445720657726,-0.624588467057,-0.552959900525,0.507422129492,-0.358701626899,0.162343259837,-0.512586935673,0.326217263637,0.268607738132,-0.212961813647,0.0307187382866,0.545032335517
el,-0.253942200385,0.297005071552,0.123058515687,0.360129691733,0.229479247668,-0.223801000243,-0.204029905693,-0.117442429325,0.42780171385,0.213156850639,0.408793519503,0.082671938824,-0.503232424069,-0.452736250893,-0.130424542406,0.319942023627,0.286599210063,0.121888285206,-0.184612491666,-0.411060311172,-0.251429458701,0.439167343708,0.366337826853,-0.52546953387,0.0529025539678,0.153375913457,0.392519969451,0.448930324619,0.0763105072433,-0.0150826221191
ah,0.577230358199,0.130367672888,0.520043815677,-0.324313878631,-0.265144699219,0.0761784386108,-0.0944664781311,0.102827574509,-0.478469403506,0.478076989938,-0.332694001622,-0.476866209973,-0.556456041557,0.352765696662,0.264716023805,0.530623007525,-0.414105732338,-0.583835916809,-0.637963049512,-0.64139733273,-0.133945739996,0.557971263653,0.386177004511,-0.393334123068,-0.482523276424,0.56763758977,0.573821382851,0.327543661523,0.535801624288,0.664912974266
ahn,0.0514757497961,-0.0319686242107,0.217491667191,0.00148389162464,-0.00940924497453,0.00510877420123,-0.168222549208,0.0991167115973,-0.0296606819402,0.227441221385,0.0731404110533,0.0594669830443,-0.163821289444,-0.106996066551,-0.0655623001722,0.099755631951,-0.0396053968671,-0.300684148447,0.0678072215012,-0.301157309517,-0.0774231148422,0.142230765507,0.1286095908,-0.205101388601,-0.13141176406,0.0494911332014,0.101249002314,0.147226178999,0.175227517702,0.281421986633
ow,0.465706005558,0.362572224023,0.659645346732,-0.561353312474,0.343662552675,-0.546430268753,-0.119341818231,0.544725308427,-0.49286509175,-0.057131477608,0.303340204685,0.606485688697,-0.447174213697,0.40248276953,0.349671378582,0.581359773417,-0.427148473444,-0.497607372769,-0.607332603932,-0.467466531391,-0.436878331804,-0.0430109872208,-0.473029017499,-0.694924571838,0.129390440232,-0.534693338469,0.593429864844,0.472702714683,0.465937707784,-0.0634833727184
ao,0.525419157914,-0.563613300964,-0.32961498771,-0.460232785656,0.34763597527,0.649348224102,-0.22229136419,0.686799060072,-0.400789946613,0.295127509052,0.60155545875,0.034431617617,0.0807204810411,0.410564322762,0.484395684318,0.614515955757,-0.548435509906,-0.0545173798992,0.457220403308,-0.331917416528,-0.445909986347,0.518829324105,0.423243797304,-0.362923571716,-0.431839601974,-0.412903968059,0.510663318007,0.484709982087,0.256933413218,0.465929228671
