label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
iy,0.0997917989686,-0.183144249879,0.63130505185,-0.737297065738,-0.502439445648,-0.493309095323,-0.590359986495,-0.389739057505,-0.0822326073662,0.229353695411,-0.154799194442,-0.427605531847,0.622299880153,-0.177019331241,-0.50510693805,-0.398281799019,0.703143919208,0.450612649538,0.603787398698,-0.636881122708,-0.677080138552,0.564276160594,-0.523420216067,-0.105074872062,-0.592813450078
aa,-0.0864547388885,0.315130114895,0.0822468563812,0.573010542736,0.087527390774,0.352363924929,0.412112176189,-0.686127500559,0.458242479028,-0.458894313711,0.698278611268,-0.297815320955,0.285768047712,0.458423206343,0.609540167034,-0.297351637802,-0.664268779277,0.309308916237,-0.45633601784,0.600714683143,-0.290659951224,-0.807220705293,0.105887253388,-0.595807090415,-0.422536070613
en,0.550472899071,-0.499736215478,-0.588535700039,0.320932416772,0.449942662954,-0.233497252944,-0.348434862399,-0.0248281391039,0.7544880026,-0.114267381627,-0.427783751382,-0.615755803962,-0.445666301892,-0.691326580592,0.0669702616831,0.219457884309,0.394036133451,-0.175237908156,-0.625949613054,-0.462099231846,-0.801153179633,-0.336697930827,0.183952479975,0.552712083882,-0.252475716362
ae,-0.680925737735,0.0339414286349,-0.0783048567197,-0.73230434673,-0.679768508394,0.404058559207,0.108310343079,-0.681323094575,-0.0517252928864,-0.12617198997,-0.509811917806,-0.403730872664,0.426556467027,0.398581219441,0.410200149281,0.52691566785,-0.392484880298,-0.586613698669,-0.266750692202,0.469358929664,-0.609190637662,0.0573898062452,-0.460502874518,-0.290070216262,-0.621389021594
eh,-0.655936416806,0.819562584898,0.777610413673,-0.380360455017,0.247409488568,0.412294971277,-0.496450169525,0.214845214267,-0.575897693153,0.0514731061067,0.784799173772,0.306819321954,0.418103110805,0.52371999078,0.399472523903,-0.268124206194,-0.370789382234,-0.328243354726,-0.407696036544,0.256833760255,0.0701312198062,0.525415340216,-0.432704244256,0.210246652755,-0.642188477166
el,0.272471571548,-0.572786966715,-0.118477339636,0.354822649458,0.518012587207,-0.330355747033,-0.584985483164,-0.464152520057,0.617469767893,0.0551671912533,0.340540126599,-0.0594706566675,0.223505937306,0.177909934693,-0.135480816424,-0.18927129675,0.187896770181,0.764432314035,0.453839534968,0.0126718337777,-0.552012501602,-0.310708149085,0.63620578067,0.481978732344,0.115991189352
ah,-0.0701897020445,-0.567482172695,0.817677757756,0.774080472228,0.497866735547,0.147252093725,-0.63355006623,0.532508821791,0.162124662454,0.216379350099,0.671934112906,0.32395410585,0.31843720416,-0.205888708909,0.608004637763,-0.518127537862,-0.245574513544,-0.956993725981,0.423468861944,0.0542723801788,-0.217622807484,-0.634384536193,0.456816831116,-0.547781742982,0.7770920016
ahn,0.0818639107915,-0.14148716318,0.110865943677,-0.119296909942,0.0121454424396,0.143053842013,-0.120190758626,-0.255810037335,0.0872240612374,0.120019935944,0.00538914425433,-0.104018288668,-0.0688241154096,-0.0490377139652,0.255030728725,-0.186888125823,-0.210156083205,-0.00654791331121,-0.0255894543848,-0.150279931436,-0.304831424847,-0.20502371594,0.0495843698958,0.306354023792,-0.226794041159
ow,-0.357341093504,-0.302181106694,0.172372650206,-0.152751588486,0.0123182419614,0.285301559954,0.00450300227575,-0.312928659332,0.794722891451,0.276050613747,0.567517838866,-0.552606393489,-0.20723635452,0.710796705161,0.574494417411,-0.0677622281922,-0.604423548666,0.410008771595,0.510070212696,-0.814754956376,0.0513217471951,0.134042297114,-0.581992583965,-0.473993142176,0.0503429064626
ao,-0.799701194784,0.330221628182,0.305790600857,0.562006268912,-0.112316625755,-0.453220002678,0.255337995111,-0.604703134973,0.62198021119,-0.021034725073,0.563670837493,-0.645056224086,0.109359953741,-0.197382509922,0.74240442128,-0.397678345301,0.346404293975,0.182698768212,-0.511891817726,-0.800445384685,-0.325415337887,-0.450907969979,0.273627321176,0.442631934603,0.217084542783
w,-0.472071528558,0.191146209191,0.455381816935,-0.255406623691,-0.684142428145,-0.820476147342,0.523233949439,-0.273766254969,-0.528320811236,0.453294018283,-0.559574066964,0.456080513396,-0.637543779404,-0.661981368778,0.620549441275,0.176279867358,0.301123627428,0.463485640126,-0.391440195671,0.266611203257,-0.11055278645,-0.504032279566,-0.190071327059,0.322177913286,0.274286474059
ih,-0.535335670175,-0.308757731284,0.604751354067,0.396191080142,0.178133353577,0.29733902374,-0.568874573299,0.480519898176,-0.729392365959,0.424818002895,-0.903932861366,-0.853137448881,0.463176293117,-0.634554048422,0.21896633111,-0.532341442605,0.113934257615,-0.723185161595,-0.213019021227,-0.206993162858,-0.461900714954,0.319876507265,-0.382520767282,0.57044332661,-0.195280557603
ch,-0.408513404551,-0.526465533148,-0.544141603013,-0.46336567215,0.335586400745,0.0921972728434,-0.238390695022,-0.316284728739,-0.289126291899,-0.115437502197,0.27192900557,0.418041965441,-0.194803020183,-0.347609548363,-0.443247938279,-0.528522835103,0.441770086592,0.0498804824042,-0.584822113382,-0.62103456058,0.58240135883,0.303393506793,-0.357594488022,-0.434268626603,0.408992368391
ey,0.618342433891,0.23562927928,0.396732479377,0.581240428213,-0.449921775652,0.328711758624,0.30603239108,0.0944284777692,0.467479093243,0.428497534644,-0.305142540228,-0.673109166218,-0.102486363807,0.646976799669,0.597204786249,-0.260680185297,-0.0640289728912,0.383871819975,0.30793816636,-0.067324761325,-0.589146592573,0.328296807848,0.771321726239,0.000817883924988,-0.731963900938
aw,-0.536836522861,-0.0739094601485,-0.0589568717766,0.412323777791,0.168629539333,0.185491512042,-0.308746004693,-0.500534230871,0.684529025181,-0.0763040397151,-0.59697262833,-0.53119444244,0.182034758453,-0.177691632377,0.634464655536,0.312058044463,-0.434333494714,-0.54127445825,-0.387175059825,-0.343204708883,0.0354257048844,0.450064350932,0.592311145559,-0.703336568937,-0.339694577073
ay,0.267711135152,0.749650855352,0.272344985802,0.357894599491,-0.24374082828,0.131941601654,-0.742137249144,-0.0354704224543,0.652652264033,-0.526028156658,0.290957291847,0.638901243661,0.249629091016,-0.809762740706,0.596638199357,0.712568290973,0.362873831895,-0.191675689713,-0.311069125721,-0.152307281704,-0.724647934822,-0.552646226079,0.316534875411,-0.256756424232,-0.810249061689
zh,-0.11694337466,0.118618134105,-0.353736299038,0.0651737630881,0.441186036282,0.12501465536,-0.139061218187,-0.505981737352,0.0835037095553,0.463482922765,-0.367500407268,-0.0446697137423,-0.124849375979,-0.487181776457,0.0132519729389,-0.206157830783,0.0346058368343,0.181344612658,0.142702513456,-0.297073759495,0.238479504008,-0.160006378819,0.0653161602351,0.305668799585,-0.197205962541
tq,-0.531695404266,-0.168390627007,-0.610398165477,-0.256340643855,-0.623440715319,-0.485177434055,-0.534636339628,-0.393542401756,0.275726987422,0.377368181586,-0.338480478988,0.380414310438,-0.0684083672755,0.0610153794815,-0.747738782144,0.0187995673056,-0.637843121776,-0.517682296305,0.499962015577,-0.292841252455,-0.272711971091,-0.318191854852,0.58605089999,-0.135323262054,0.751875007227
er,0.598351900082,-0.666921658813,0.411384489926,-0.684874988317,-0.411859916715,-0.626209267097,-0.370361587697,0.483018559306,0.307391204398,-0.296116710283,0.707693436621,0.450562033074,-0.564248694168,0.424695047283,-0.154148357436,0.169819185628,-0.236575806771,-0.434966736689,0.134754817009,0.144480228969,-0.534655800155,-0.0600240731444,-0.204544057443,0.240460529844,-0.366106884021
