label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
iy,0.528856952186,-0.542134534225,-0.692008686773,-0.679068434845,0.733921746052,0.297385338391,-0.527527424337,0.0411200847573,0.175059004468,0.555029006586,-0.0466781440978,-0.774279295093,0.180157167411,0.479409284662,-0.437920916939
el,0.103700980934,-0.192295614031,-0.0558564993114,0.0433699024278,0.0442484702644,0.475176218955,0.215030589329,-0.49762212703,-0.379620657504,0.359424233664,0.475371085124,-0.550612143811,0.614182676015,-0.284722583767,-0.275318020074
aa,0.620353844489,0.153227554937,-0.302282221057,-0.565679830483,0.615414663095,-0.480929079368,0.614782663465,0.254220416697,-0.625595777394,-0.495064595704,0.457934770224,-0.532009970198,-0.693442813509,0.638091207964,0.677994658074
ch,0.0503092028314,0.249755663613,0.488730864873,0.49541743654,-0.515282990981,0.354862088361,0.0479395402077,0.14517626296,-0.0985456329237,-0.370617052281,-0.471465812061,0.104446711298,0.505436210747,-0.251432887778,-0.392411480952
ae,-0.103147958747,-0.625410126909,-0.421068112046,0.461954351372,0.670526442184,-0.708955395546,0.690918966793,-0.484418140873,0.569384742624,-0.592986628888,-0.696729656507,-0.529421822395,-0.618751282478,0.512852504649,0.377385073382
eh,0.672286182075,0.566932133385,-0.45335988168,-0.806783477771,0.616405288998,0.598550582346,0.383843776599,-0.700981412149,0.233822000766,-0.485074807867,-0.255296026398,-0.199829574508,-0.519200957037,0.729774196646,0.638175973531
ah,0.506688886807,0.639634457081,-0.805546403119,-0.447299049287,0.645215087248,-0.31401558218,0.638892153714,-0.743025251724,-0.470700810851,0.0059208097205,-0.391783225341,-0.227129965963,-0.517055740024,-0.338709474358,0.00320971497121
ao,0.0277275782507,0.0255846802675,0.01957059882,0.1635380003,-0.0687462784578,-0.0133458772246,0.0719477676332,0.128251391198,-0.0349522665093,-0.0147935029492,-0.0621586774868,-0.00259574271198,0.0376367685033,0.000767411315274,0.0699758701355
ih,-0.315762957434,-0.385394358064,-0.65008468458,-0.668179004313,0.659307853331,-0.218283929305,0.529683901559,-0.661818309428,-0.325127923064,-0.619907150022,-0.243610247456,0.719844005806,-0.818920858255,0.828666635938,-0.239705427351
en,-0.240590809456,-0.2059178382,-0.324561960084,0.509344354307,-0.435652597586,-0.00142353605642,0.668276133903,-0.217431030995,-0.571698482179,-0.507500010288,0.213772669799,-0.413852496177,-0.582154364747,0.335625618156,-0.131917074669
ey,-0.0196419168859,0.383958030482,-0.301577119506,-0.106857560764,0.434191298607,-0.0430943616828,-0.481077260099,-0.600137372515,0.509481945824,-0.371469082339,0.238539753034,-0.614380133019,-0.232762699688,0.187839597952,-0.222455228662
aw,0.0689095706782,-0.254260310574,-0.454777538165,0.340536680676,-0.0192725418014,-0.628786716283,0.556118600834,-0.211291494107,-0.462080032326,-0.141178069416,-0.359484968792,-0.736163167599,-0.447885769872,0.538659483737,-0.64325007973
ay,-0.0319071913128,-0.114089256575,-0.505039993656,-0.550551751231,0.215795683477,0.138076969147,0.501005164626,0.572981999286,0.694930124756,-0.410224557954,-0.479870715911,-0.510794917436,-0.558959518221,-0.461557609121,-0.25535103132
zh,0.166338234259,-0.171992885109,-0.123454339376,0.388912122121,-0.249453332802,0.233136956691,0.0625054267222,0.244237711677,-0.150047752632,0.129334491477,-0.216134400568,0.0913014414033,0.329893980794,0.0190745424355,0.180561192878
er,0.664073982267,-0.454467513882,-0.876556259059,-0.396859908164,-0.316589581206,-0.202790639739,0.196874337965,-0.650763720539,0.590600248474,0.439674687025,0.409565127413,0.0285087105452,0.171718956335,-0.0117853803621,0.201103129703
#,0.020564483232,0.0199904027435,0.0229203886744,0.182261835655,-0.0871415650427,-0.00642629264706,0.0737666231596,0.127174939123,-0.0303484691672,-0.0141513220045,-0.0617150325642,-0.00550877749576,0.0435633314225,-0.00629031711113,0.0539933419602
ng,0.737869251741,-0.566312788785,0.748362461754,0.654303794891,0.345457721481,0.614217175958,0.683568588901,0.699157131731,0.325337740798,0.0993201142645,0.631868905354,0.826799164866,0.538933242854,-0.125822028411,0.369548293465
r,-0.730128002458,-0.212737515963,-0.503943920503,0.346776965711,-0.330735204661,0.0707787160744,0.506557798913,-0.0480694733511,0.327998827736,0.773342044496,0.625470228256,0.450839133345,0.533087086293,-0.673090702543,0.771702601821
th,0.60825217274,0.688835211728,0.377497619397,-0.192948966669,-0.639039609955,0.393382658077,-0.479027125617,0.700732168136,0.420320710573,0.250051698013,-0.606378467627,-0.377880453223,0.271050843807,-0.455644934209,0.264979372978
