label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
ey,-0.924972797429,0.600490726366,0.232932836249,-0.0045048140895,-0.195587950386,0.106407497461,0.962604516215,-0.234838655654,-0.290810204165,0.0635514219687,-0.820246190533,0.686494404386,-0.670963314899,0.250551403829,0.316343209441,-0.226118247666,0.117734286516,0.254921200759,0.391193745745,-0.191611152618
aw,0.383631878961,0.239026812852,-0.236771472604,0.432209045736,-0.518922241716,0.436556183317,0.28125470796,0.720796261193,0.0404733344573,-0.615511418755,0.290795912843,0.690607781678,-0.887778345783,-0.29734975672,0.17686835651,-0.788815688976,-0.460968144392,0.28354094358,0.500435128914,-0.318666441232
ay,-0.622867391503,0.367268902213,-0.682034548718,0.493295503082,0.641938619985,-0.582064109122,-0.671691332039,0.206299755608,-0.403743312772,-0.797799989886,-0.372976048387,-0.309112281296,-0.520699369259,0.204939885586,-0.164903183196,0.521123216836,0.349828953703,0.705978959377,0.403735243767,-0.107675485182
zh,-0.0140679821238,-0.301353210615,0.40463095704,-0.0525069873872,-0.0255441004409,0.283827683002,-0.325976474294,-0.110056084127,0.356157598313,-0.0593362751553,-0.131652849755,-0.130710889317,-0.294586501821,0.00580368704063,0.04311363274,0.0876675884446,-0.10299232333,0.245238142905,0.0836468611261,-0.073946700057
er,-0.567098475401,-0.411187902782,-0.193166270498,-0.534912705155,-0.355865614174,-0.71459441204,0.628678687118,-0.706034924819,0.811559886601,0.322911601451,0.0918192494682,-0.837046809158,-0.589976312906,0.310483201847,0.371311007137,0.685491406324,0.664386457795,-0.225649453911,0.0333890672852,-0.635679965911
#,0.0326921062063,-0.0727525659282,0.0620589862799,-0.0868451859207,0.0220559907673,0.168459830965,-0.0585031857688,-0.0893004941371,0.164083587269,-0.168774723625,0.0328819364362,-0.0152375687032,-0.19196042119,0.0685549987,0.00265192310422,0.0135724835772,0.0466987024499,0.0324051729314,-0.00067178973762,-0.211300096174
ng,0.376874302913,-0.599375325248,0.703641851953,-0.147735231957,-0.803629985138,-0.0939047602116,-0.913069699637,-0.478912973118,0.918401141898,-0.165216019301,0.555375569468,-0.567905748069,-0.896762735229,0.445166824462,-0.434932613065,-0.206152085155,-0.321659040993,0.314346468831,-0.599182793663,-0.763052790051
r,0.460951130838,-0.591450718814,-0.780793495645,-0.429039922717,0.0870687271941,-0.748774928331,-0.883060650697,0.226816956584,0.774813738896,0.367895566932,0.200676488411,-0.451219404682,0.843706225832,0.342101154085,0.642004972396,0.317626266148,0.377035411813,-0.0212646125306,0.124018038665,-0.150682488268
th,0.97854600641,-0.641481779905,0.0672709790888,-0.443055643019,0.426938157296,0.399531015253,-0.72665167377,-0.762332217718,-0.691544810755,0.21326441883,0.0557432809982,0.00901010104302,-0.524578461591,0.542490652311,0.511225320268,-0.209228267211,0.129202305126,0.529281098531,-0.705818992972,-0.0777090560256
t,-0.182439091863,-0.910245734116,0.852459400687,0.753208766498,-0.423121713248,0.842838459854,0.901411641967,0.540332799375,0.481521524694,-0.283220091133,0.821495414517,-0.808351424377,-0.379599053568,0.678288372841,-0.34300653438,-0.468549246659,-0.405559705708,-0.0505371534421,-0.466988677787,-0.264817468863
<,0.124833995499,-0.0148218150707,0.206856429005,0.262518965927,0.161630883088,0.428146127349,-0.239120706126,-0.342454575739,0.254799145275,-0.104588269048,0.20339412008,-0.0206942845723,-0.30044846832,-0.193231521428,0.176376205478,-0.211655930809,0.283612055531,0.0849181736802,-0.0695450034749,-0.14436232852
>,0.204603152967,-0.149201345635,-0.0934497822645,-0.352468427496,0.171579455565,0.142737375206,0.112056823837,-0.2091092069,0.277420766751,-0.512100432336,0.343636836293,0.0281991215653,-0.181705934846,-0.0419796620287,-0.22478339017,-0.0718547935212,0.221022149341,-0.432953578065,0.0497996858567,0.0118714409106
w,0.869776207207,-0.649158177742,0.5203410895,-0.665774370589,0.660020512519,0.825961957694,0.421391684097,-0.196119065047,0.837568486488,-0.967382013365,-0.944640343053,-0.0448076681452,-0.168531857562,-0.094675931495,0.175161668724,0.804692534508,0.737017650776,0.804290932908,0.83239216994,0.301241358988
dh,0.946456947748,0.514172397087,-0.245501007956,-0.221905121481,-0.333106450154,0.567937288739,0.629455425313,-0.232357660031,0.652435307042,-0.625790633985,0.549831269235,0.534067369363,0.447237365154,0.813390733571,-0.498254670884,0.59360051938,0.527225187077,0.864582128694,-0.682397055413,-1.0982305347
y,-0.16729165282,-0.269590382107,0.779249429541,0.571023429711,0.209945299109,0.568681908379,0.0165291766349,-0.636424513678,0.924509236518,-0.792807220275,-0.486624834366,0.729065051441,0.682817651329,0.745454104095,0.226041995173,0.771813620656,0.273733443341,-0.922378848031,-0.68447086659,-0.566592410577
hh,0.783547076256,-0.0957533786207,-0.510990249159,-0.150585715544,0.606552424396,0.970706187359,-0.38441528036,0.0192220945894,0.701594667993,-0.666889802488,0.112641564814,0.380029500599,-0.589510602651,0.518995392189,-0.678871295526,0.151860755583,0.790825056751,-0.81727826357,0.742228498279,-0.749482461789
jh,-0.285723527651,0.566157224316,0.282306129252,-0.0959359986529,-0.337514034324,0.857310631825,-0.352580498297,-0.503316080136,0.525698284539,0.0569621105367,-0.188848391034,0.145775985603,0.282386466163,-0.71106048771,-0.31422592277,0.718691255596,-0.687422200783,-0.00140096308731,0.535333656587,-0.0890435124545
em,-0.634997478082,-0.609246408617,-0.0921711624058,-0.718529177122,-0.0324426422875,0.203801224345,-0.081996214714,0.0977337416679,0.375552927558,-0.436463157272,0.521103323731,0.332703098869,-0.419972467792,0.635885113817,0.492980267299,-0.563828258522,0.441256025461,-0.491552154966,0.583668717119,-0.456278496393
b,0.913141053862,0.646481782241,-0.574787907947,0.0484286053987,-0.0155116785392,0.919930677195,-0.059219129196,0.448529050253,0.551064254316,-0.167373123814,-0.707281053145,-0.863101072107,0.275988219054,-0.749930229145,-0.189646411774,0.150638603021,-0.687507704493,-0.703677520468,0.152532626437,0.0408533455569
d,0.228903110505,0.398186468361,0.953576478786,-0.320718401174,0.561603140457,0.871815966928,0.167233551542,-0.84977101886,0.158440708069,0.616630758426,0.748930430318,0.0562929669711,-0.214863007809,0.603147417505,-1.0325149115,0.376178759053,-0.512473152227,0.641822092176,0.400224765515,0.0191155065108
g,0.988176833238,-0.413912858528,0.378767603532,-0.208383344848,-0.334708630735,-0.218223495091,-0.156675962818,-0.798553549501,0.0370938960931,0.0157255916101,-0.84466476498,0.528607525957,0.118820421736,-0.655043888901,-0.519331741784,0.358828476021,0.130008916489,-0.0555157190691,-0.374347724843,0.652278690114
f,-0.677611905546,-0.276340511443,-0.271791914923,0.454798309069,-0.785528566542,0.79545646622,-0.634331295503,0.182876449152,-0.411110628194,-0.4226032242,-0.945976145875,-0.360867220309,0.112319159168,0.720082231388,-0.148685835874,-0.495227272652,0.0160058156648,-0.475033173029,-0.477502692185,-0.280004480011
