label,c1,c2,c3,c4,c5
iy,1.69979236033,0.189748959452,0.0776328438088,-0.105341169895,1.2613726782
el,0.756858501125,-0.58300844379,-0.698576961256,-0.424042867211,0.686783019561
aa,0.398083460927,-0.165867013746,1.07522710759,1.02702630564,0.144235637405
ch,-0.722452270658,-0.133072867289,-0.724569177347,0.055810458229,0.116988191076
ae,1.54874458103,-0.165444789064,1.16806198296,0.591329813648,-0.715171371199
eh,0.950326770021,0.0235848668332,1.34399718106,1.36075736748,0.763935847419
ah,0.311282480354,-0.79908910152,1.26271297463,0.350280328723,0.641670115863
ao,0.00296516878517,-0.0120163583653,-0.0519771576529,-0.0921867025309,0.128290575049
ih,0.602566280611,-1.29350242368,0.9830621627,1.28456345652,-0.41334418687
en,0.141298859531,-0.166167405117,0.725020767282,-0.0303995441486,-0.907412836348
ey,1.21702684309,0.0265624126159,0.038283021086,0.222100793386,0.462751496751
aw,0.779160384036,-0.196527412716,0.340628418079,0.501353495513,-0.592283935072
ay,0.444921170177,-0.263832504066,0.480280191379,-0.29540671438,0.691502332414
zh,-0.457953857998,0.0621318617519,-0.196228129159,-0.486911532078,0.495770486779
er,1.15108452238,-0.434915287211,-0.107955475742,0.0604604943857,0.611657478686
#,-0.0108310218171,-0.00660366783721,-0.0885669276906,-0.117732873374,0.107440027692
ng,-1.25661749365,-0.955725170389,-0.0628139610048,-0.75572794909,0.952159901564
r,0.29145002695,-0.73542668979,-1.08936184529,-1.0485659821,0.300025490918
th,-0.887161981084,0.438828690447,0.129911854291,-0.380905220337,0.498246164461
t,-1.06755362998,-0.542170741159,-0.922549113975,0.298187263897,0.575636157114
<,0.168400987862,0.0424728559881,-0.325543471611,-0.128915708168,0.135854297554
>,0.00831602380303,0.0992954522527,-0.186653033723,0.0375677647088,-0.193542311702
w,-0.267393336252,1.48686281033,-0.371737746395,-1.01173774795,0.12966970691
dh,0.275620064897,1.42395947952,-1.6055118024,-0.295267058417,-1.19717109351
y,0.264509954255,-0.111911567298,-1.43564374901,0.826025507238,-1.00403867542
hh,0.182933055908,0.951463543205,-0.905658071767,0.0805191877965,-1.10345518266
jh,-0.594441536693,0.497458706186,-0.277610691862,-0.497593842223,0.662439281588
em,1.12905958908,0.500371366657,-0.346341022633,0.212730367344,-0.340594350692
b,-0.635534847158,0.736901298529,-0.318055968359,-0.416062434613,-0.0771387464429
d,-0.943864602335,0.00778926133583,-0.924502605827,0.365975076279,0.645680010903
g,-1.06645415642,0.917992833343,0.287643445663,-0.836143243878,-0.386122262696
f,-1.25962180016,0.215558118193,-0.0321603678785,-0.441904306752,0.056188904201
h,0.212701215822,0.266598097578,-0.324266175252,0.0841109000235,-0.196289320262
k,-0.862701352668,-0.146429853009,-0.467621615804,0.0840779245589,0.433832487238
m,-0.684770888354,-0.129061008654,-0.548648768212,-0.389370074716,-0.0875249531561
l,-0.0180550140047,-0.520137932268,-0.993883281096,-0.704044208728,0.348807674497
n,-0.889801135246,-1.47704639784,-0.120058093817,-1.00750409839,-0.951010302965
p,-1.03293227553,0.840244931863,-0.117839267156,-0.117099392892,-0.172175209119
s,-0.574187214341,0.0569864336492,0.185277331243,-0.967325846043,-0.351387152956
sh,-0.572962813085,0.226645010498,-1.08057342879,-0.465131425618,0.413464010834
uh,1.13078119103,-1.14443770723,0.884440555822,-0.885346636528,0.75204990544
oy,0.586665256009,-0.523105225603,0.0761193433783,0.0315542913688,0.449167924809
v,-1.43967735518,-0.109843861972,-0.29863722032,-0.307759959848,-0.321441954541
ow,0.397007009263,0.434941165227,0.201063939411,0.945554354202,1.09625808129
z,-0.752067518734,-0.186637585742,-0.192586458457,-0.220819018065,0.120825577484
uw,0.913184648162,1.06254872856,1.48170678628,-1.39102147331,0.268883523263
