label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30
iy,0.0785740132656,0.502807976323,-0.445709534717,-0.513279141999,0.339758010754,-0.348442623131,0.426774679851,0.560188713766,0.515923306385,0.181798603733,-0.48397630466,0.446177564965,0.624918425614,0.509229828681,0.609559792353,0.410936084823,0.0895389946299,-0.165134151852,0.438220416499,0.60884092766,0.164060921909,0.00335433726636,-0.472815977548,0.275855346341,-0.199863143637,0.56829822982,0.100136286727,0.393070469909,0.440466732079,0.16705951393
el,0.12803419355,-0.149423117865,0.0686951113385,0.0563075284495,0.39958498321,0.117003668571,0.258513718948,0.544028354908,-0.0834246668644,0.244019843038,0.184420770235,-0.120850043183,-0.105147799735,-0.0729227590912,0.489730599117,-0.298387900103,0.305316146894,0.395702678921,0.19005875142,0.425702433812,0.277246265496,-0.341095817657,-0.244714810233,-0.289271060217,-0.384683550915,-0.329392944875,0.298866975829,0.299473496468,0.0724753127577,0.5054031055
aa,0.569633759477,0.129556202195,-0.479351479942,0.119448411208,0.19263395953,-0.0283013390436,0.687968402841,0.527831859705,0.370168186752,0.75084880485,-0.153354331535,-0.237878975636,-0.440466742245,-0.105610484002,-0.365628555592,0.34837933777,0.30543925204,-0.480641279687,0.214198284548,-0.512484707667,-0.626292350945,-0.296407940124,0.42389830318,0.425106498902,0.312542955541,0.258027700992,0.522831209178,0.176680150161,-0.198825583457,-0.38888367566
ch,-0.302946914151,0.525939532146,0.175570970272,-0.41923494184,-0.0891318585351,-0.115141719201,-0.361507586601,-0.346633027574,-0.343754463732,0.426652195114,0.527888825255,0.318970257609,-0.147085341015,-0.04806036706,-0.263437855264,0.110785527951,-0.134541438885,0.400320391365,-0.288449866084,0.314869480154,0.411625645575,-0.147657124606,0.523662852667,-0.26792686905,0.256174012588,-0.207419380749,-0.319386742234,-0.244231341301,0.39342726574,-0.214531476461
ae,0.1296595362,0.113938639148,0.509097015226,-0.532310007034,0.593225067475,0.600085903016,-0.428553808083,0.555696828106,0.112661577886,0.37520664518,-0.535934219428,-0.510801531294,-0.134131138606,0.485368606921,-0.237559797961,0.424222715618,0.182223602038,-0.479493427923,0.453014782458,-0.551829804344,-0.501095036996,0.580665316044,-0.53150689947,0.525082632212,-0.143195129111,0.192432914755,-0.471632740168,-0.173483687729,-0.0122125760687,-0.10930715868
eh,-0.507848866331,0.495514272229,-0.452769116901,-0.451955613858,0.55626863683,0.28300243611,0.326228865504,0.0583979620037,0.169559324287,0.632843583691,-0.307696008298,-0.540513230138,-0.223115282899,0.582791458986,0.520949174424,0.372303511754,-0.114228940338,-0.679707463373,-0.097906045033,-0.547312703234,-0.600860661398,0.134293692226,0.492367652798,0.61855608358,-0.230234184201,-0.272886278983,0.384959441074,0.645764894573,0.379204356267,0.163195877673
ah,0.463394793809,0.0389144573571,0.214176547163,-0.483837286783,0.315226617787,0.459422638559,0.421351051808,0.527130974333,0.323853499923,0.475348683242,-0.639076447758,-0.549162305166,-0.434014445876,0.183950572755,0.318469620353,-0.00963282261074,-0.449207525314,0.272197822794,-0.248601932211,-0.172110453583,-0.456192339004,0.409747580303,0.548245901532,-0.370935285748,0.343637418525,0.566353134043,0.384766519032,0.422908427962,0.392310620916,0.329331807451
ao,-0.015441866902,0.0475411669724,0.0324653802107,-0.0512463691487,0.118173557701,-0.0869185796551,-0.064537325464,0.113034728453,-0.052846102738,-0.0575698212358,0.00719297369068,0.0180872048734,-0.0475841458598,0.0300955775711,-0.0204011435049,-0.0011359780112,-0.0273187162132,0.0794228739927,0.00936492617374,0.0127999396592,0.011708875274,-0.0135700735396,0.0245536640668,0.147508913846,0.034323480299,-0.0446071713906,0.0530041887544,-0.0477163327814,0.123149842912,-0.114196244301
ih,-0.306711410636,0.527937519956,0.109578682331,-0.475031941648,0.55279580774,0.624506650346,0.676506495716,0.428042200449,-0.459370146926,0.217385895525,-0.729187973994,-0.673991619271,-0.225900491813,-0.295320537751,0.0146065728021,0.552991742214,0.549108678608,0.237399538282,0.440459377364,-0.313591998253,-0.64646137017,-0.0830092160829,-0.074735244857,0.553350768384,0.466930875885,0.0310171533019,-0.0109475202055,0.603822606536,0.360732473363,-0.546512780878
en,0.129427550374,-0.353820857808,0.450681017018,-0.362209018898,0.519295902674,0.307853870224,-0.332146439936,0.216099953926,0.294609098099,-0.389646842409,-0.0733338932606,-0.218547061007,-0.443822410902,-0.152646453681,-0.0438371862293,0.193403406389,0.354281923727,0.333481371302,0.475028408762,0.149651715963,-0.511892546423,-0.324856463901,0.46029675229,0.310930958738,-0.0357470754984,-0.151966073739,-0.09812787102,0.268795045117,-0.226659053231,-0.170931838076
ey,-0.218344300173,0.518308984107,-0.157409258199,0.108425781242,0.199114295138,0.456722036465,-0.232453451312,0.618531193455,-0.0537478795021,0.118810655774,-0.434417549711,-0.23126833143,0.149405909251,-0.0355812694293,0.48851902747,0.194874116004,-0.369367340139,-0.285811082527,0.302497089344,0.14870690404,0.313851865088,-0.428429734271,0.436605188993,0.42485654833,-0.474096999639,0.547543880976,-0.278090391194,0.413477979695,-0.498184203906,-0.0111576817418
aw,-0.0968314671553,0.204934599233,0.624212766075,-0.139670985439,0.313554170715,0.400198450094,-0.0409377074403,0.412804752071,0.371357384806,0.447117201538,0.149989680724,0.515737634197,0.085623051644,-0.153479838052,-0.454679030339,0.355833613708,0.577606142761,0.1624636632,0.40047235799,0.202334343612,-0.35712123092,0.443613346591,0.103656932557,0.271872673958,0.199907600739,0.386274052085,-0.0597952940543,0.448768149279,-0.321667834547,0.0688826954165
ay,0.199173904368,0.241189683451,0.164863198854,-0.222616906096,-0.571358384156,0.612075524715,0.0326852728967,0.24737872839,0.507910376593,0.0366100006207,0.188469130821,-0.175677336507,-0.193583669845,0.415241444598,0.0814460547038,0.516368659419,-0.20872106058,0.263531762171,0.445046210091,-0.498832266279,0.540691967392,-0.0227316593538,-0.177317850238,0.527321013562,-0.257112506323,0.390470237451,0.438001288654,0.46596678817,0.500164364696,-0.615450343611
