label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
iy,0.396802249951,0.674219584952,0.0826139135568,-0.42417647813,0.644852343644,-0.490458130001,-0.39284896767,-0.530390189638,-0.567403235255,-0.193839241585,-0.30897973689,-0.688308621015,-0.551708478928,0.60631098051,-0.221211119609,-0.0397564028387,0.327017066358,-0.615415136106,0.524130475635,0.584066606572
el,-0.13571029963,-0.0939598699587,-0.208295598829,-0.541653405743,0.397461554405,-0.386638203524,0.20062123813,-0.337197882584,-0.0959976995937,-0.20114849002,0.0427405109562,0.302368116891,-0.0346525281562,0.569247698974,0.504290857221,0.235328800225,0.498989664517,-0.461086671567,0.424126446197,-0.380732191274
aa,-0.321622464539,0.266662119642,-0.477754258805,-0.424057872917,-0.399728826581,-0.601708485167,-0.388904073832,-0.222252037305,-0.397599877521,0.628890638406,0.48856097717,0.330493142444,-0.475526979975,-0.637628660059,-0.713839180853,0.414449203265,-0.152105791957,-0.31776221933,0.164994310752,0.652672668372
ch,-0.321715223658,-0.631099990445,-0.301829515588,0.382505552681,-0.280196909832,0.693721972728,0.297898515644,0.0185943742629,-0.268851902477,-0.0257169212042,-0.0127700693183,0.323272409186,0.307438612713,0.531778097986,0.21701781646,-0.188380956751,-0.0742220320805,-0.185915385475,-0.0781911468389,-0.213136866419
ae,-0.70324276382,0.757207964911,-0.257440473565,0.578493558085,0.376837107538,-0.473715557595,-0.532593324406,-0.313229631452,0.419248474007,-0.321038473892,0.591489201506,-0.664955264892,-0.278012142796,-0.652521508501,-0.744355387666,-0.148208376545,-0.12477687551,0.183203051848,0.583014318267,-0.508136122495
eh,-0.592208935373,0.725632087287,-0.251179030191,-0.770263132503,-0.692234147171,0.195055668212,0.349955923031,-0.507762206194,-0.37542523722,-0.436852070035,0.812495845887,-0.66606629571,-0.538919714255,-0.548091000526,-0.43930312767,0.381904417331,0.0259692545694,-0.376416527479,0.584515371723,0.57904753191
ah,-0.683331924962,0.357971160601,-0.570370809835,-0.450892544169,0.599112402623,-0.21299460034,0.228440267768,0.511235610558,-0.684690737079,-0.353616298073,0.585241834458,-0.120101145938,-0.508439158254,-0.194659786607,-0.411251389507,0.467325224316,0.382944788839,0.255288471976,0.405779688986,0.521597011934
ao,-0.0430470032635,-0.0118677973499,-0.001072599747,0.017075903478,0.023532866146,0.0210532445138,0.0289991723244,0.00901120471848,0.00742643367573,-0.0429937611652,-0.106464587561,0.0780849168261,0.0326780587883,-0.0275935296851,-0.0304457797737,0.0168027729539,0.0239837910624,-0.0180870128412,0.0789438488895,0.0352986043617
ih,-0.474105006108,-0.152995415317,-0.723820263877,-0.318873469313,-0.167081623363,-0.416392900245,-0.432174280299,0.59010954675,0.627282047556,-0.631782571237,0.342523129803,-0.618031292236,-0.669437998421,-0.55831516347,-0.591446873443,0.622353198061,-0.553766783348,-0.738151122217,0.650086662301,0.423938975366
en,-0.397946992847,0.376444336624,-0.438691221921,0.349153617787,-0.226340649659,-0.391314762022,-0.125419778857,0.505505055565,0.285098376575,0.0407344710487,-0.303301083206,0.368396160164,-0.537818577281,-0.593102622644,0.345815854801,0.0461028929451,0.269503088154,-0.342074132481,0.512066599129,-0.429570778237
ey,-0.396576973177,0.442843320591,0.566674797097,0.252169642777,0.346078041158,-0.531934124966,0.277243714455,-0.510177194521,0.0279432848951,-0.64190277836,0.411985877149,0.186729714572,-0.573561481768,-0.269077711085,0.276460042751,-0.206474523874,0.122373516076,-0.487264575225,0.294872282921,0.594077166258
aw,-0.233319596745,0.584616691715,-0.68347042168,0.245914360301,0.292138066324,-0.579845965608,0.480664300293,0.206187750201,-0.189542297474,0.0258817396359,-0.0859116186472,0.220432761179,-0.685598192503,0.0592255452833,-0.674873228397,-0.232188087694,-0.38081167294,-0.402540579894,0.468024528018,-0.427769849
ay,-0.724524735844,0.0899216306575,-0.405522460003,0.087583159404,0.51536347877,0.258577223655,-0.412399350632,-0.517683689761,-0.329467057074,-0.518107589192,-0.187220471375,-0.381313886615,-0.263368821568,-0.424637821042,-0.202267980462,-0.34470153165,0.132753270087,-0.477286290293,-0.62669951853,0.191879101974
zh,0.129488486928,-0.308030749195,-0.107860649454,-0.139835187287,0.150683417471,0.194204694914,-0.208935791553,0.169749543625,0.0151608078951,0.0629613007121,-0.31952722145,0.118772759854,0.110195022969,-0.0122100402865,0.104225802048,-0.172387921486,0.162906714717,-0.0966745774836,0.102104801586,-0.130984216565
er,0.55228663237,0.304288452214,0.594436902469,-0.382386677379,0.631314537609,-0.2419209622,-0.269922301449,-0.131476928999,-0.593543888192,-0.51486916992,0.298743370605,-0.426579226468,-0.240840298338,-0.600759765372,0.219751737593,0.664945457603,-0.000981292620066,-0.288184393993,0.381436961616,-0.581890611407
#,-0.0408973490564,-0.0108958164845,-0.00459025048076,0.0328416189555,0.0253791434183,0.0255590801687,0.0355181582896,0.0117037992076,0.0110685785348,-0.0425415535314,-0.117479143093,0.083039321275,0.0334964845356,-0.0194159326212,-0.0108896272637,0.0106135558016,0.0235523714227,-0.0212508073417,0.0779087821082,0.0176190180127
ng,-0.226142241878,-0.619194982995,0.533964070842,-0.469253288526,-0.392803493453,0.505112151896,-0.490566871818,-0.364057795382,0.464779990909,0.569341334768,-0.700388798936,-0.504653732837,0.369589982796,-0.214059936098,0.554850987558,0.613266755986,0.587520765748,0.446108063801,0.391963313166,-0.451086237976
r,0.427317167862,-0.443960482662,-0.527790537724,-0.733281740585,0.524058513395,-0.238203312362,0.381089034754,-0.159046968198,0.309960989541,-0.0167711711848,-0.313997008593,0.473643131899,0.725296036752,-0.619667527994,0.556372455909,0.43110859412,-0.631716838329,0.274631301136,-0.471776818167,-0.6018962038
th,-0.196849975754,-0.562590468919,0.342754051305,-0.475679967863,-0.467031142293,0.632673848067,0.666986159763,-0.484342290876,-0.285383211076,-0.514634725039,-0.708047042673,-0.0486795180278,-0.222320113044,0.287374440908,-0.423475034981,-0.426601866648,0.516074557722,0.365253880794,-0.429438209426,-0.140556291462
t,0.460696481858,-0.516950208091,0.350138877995,0.498081344384,-0.396750617227,0.67678053965,0.260119098991,0.328585224018,0.038615625304,0.403911142349,0.605099845383,-0.429088877002,-0.647797757718,0.661153558793,0.561196994391,-0.16338872895,-0.443145433494,0.402808614882,-0.451291586696,-0.376578199063
<,-0.00335526370368,0.0343058110388,0.0553581887004,0.0575572930531,0.150610147253,0.058846106007,0.0206302159368,-0.099287379819,-0.0158545596332,0.0113569704847,-0.168291079381,0.0984653255701,0.134980198212,0.0164529571135,0.0422749078952,-0.0162423733453,0.0192411078271,-0.0586638188486,0.147895424386,-0.105086758509
>,0.00249450464163,-0.0294234196888,-0.0680702399202,0.10285164193,-0.0371007669847,0.0891789557762,0.044930121083,-0.0133183179413,0.0380326992851,-0.146920096381,-0.206372145653,0.123757399942,0.13767949194,-0.00477028516435,-0.0507976627514,-0.000149083231531,0.0254785537379,-0.147890534124,0.121370850589,-0.00296538252849
w,0.587004451209,-0.559024966447,-0.247020891234,0.600887780837,0.513604245095,0.0688306244053,0.569607371753,0.833231580454,-0.717236094583,-0.352844187586,-0.694129824569,0.555331977553,0.516208772917,0.275023121087,-0.544770738056,-0.161758695617,0.479902852951,-0.0115883563056,-0.333277220107,0.0159044013507
dh,0.472613734191,0.688872350363,0.690979326815,0.420689937832,-0.591690248203,-0.517464597161,0.559435965507,0.519480156322,-0.271563465133,-0.685303082912,-0.508792997266,0.615961846083,0.763528014371,0.653788485232,0.134117610322,0.547809532057,-0.43507074826,0.218051164393,-0.636201786149,0.583301396888
y,0.391905788866,0.168892432438,-0.0958443731987,0.49931583511,-0.495349219451,0.748959286773,-0.304457606567,-0.360440003666,0.0778063123584,-0.478577175006,-0.607359463576,0.165331847528,0.682793161451,0.739536989808,0.516622661259,-0.190404552842,-0.621797104948,-0.362230217884,-0.359895945266,0.280447294426
hh,0.494981935554,0.0717866534528,0.198513040331,0.716340261313,-0.328054718689,0.216668207055,0.401852511525,-0.590087824796,0.480511383965,-0.684395279322,-0.639435197053,0.554209541483,0.283396951122,0.601602690625,-0.570849956919,0.314118062035,-0.329721730666,0.301500764237,0.52237477584,-0.673184281243
jh,0.0869851602847,-0.530724197023,-0.399223085033,-0.0210639531846,-0.277669508084,-0.146071119518,-0.353715607845,0.393304831802,0.167549560612,-0.192778858493,-0.505004361287,-0.154350728298,0.460143343468,0.437527056652,0.110328382455,-0.452494412032,0.0726226391669,0.628382152449,0.191095956781,0.359762155582
em,0.41324862987,0.603753326409,-0.52639246795,0.411294606125,0.528473866668,0.639078493203,-0.22490787829,-0.281705578634,-0.162068750306,0.177434798143,-0.037683048001,0.566875435795,0.117749747619,-0.247209198002,-0.454894313321,-0.514364305491,-0.259007244446,-0.512973667153,0.437563182635,-0.594138512966
b,0.438367289779,-0.566550561099,0.679605635003,0.362872459923,-0.528248504694,-0.706087980084,-0.23041694765,0.466166386434,0.598211828717,-0.32594510892,-0.24328137683,-0.18822057921,0.708502216087,0.118968211615,-0.577532775962,-0.507529619431,0.331227770942,-0.19628440964,-0.510550724385,-0.1382786607
d,-0.519276300876,-0.660509019174,0.732759036163,0.406845317523,0.548056863761,0.672793888948,-0.233187396049,0.0546015584564,0.413320061576,0.528717203914,-0.579856918819,0.371922055709,-0.280975552279,0.610143146033,-0.557059323838,0.39711023806,-0.540427022341,0.42018921764,-0.0143868506095,0.433788484054
g,0.146366805489,-0.521994241195,0.664263573762,-0.0664135959999,-0.109226004325,-0.104685385783,0.51096861096,0.23800786876,-0.556249381701,0.562009100388,-0.590477973235,0.404410314439,0.47523898071,-0.462298851988,-0.543621721698,-0.400761869017,0.241023049501,0.6103992241,-0.0513437975196,0.310087729892
f,0.384832962472,-0.152116905201,-0.0845175116673,0.32749655532,-0.667960471209,0.546102048125,0.0766331118917,-0.269683317201,0.0868635012813,0.436379577945,-0.0859973490103,0.48401426544,0.620628710917,0.2952001315,-0.110889298524,-0.149429710155,0.395855937664,0.39501145516,0.490801959394,0.0810295363148
