label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
ch,-0.463492774614,-0.466866507395,-0.183680112702,0.144727330932,0.535489883204,0.041632457895,-0.517721018261,-0.336604785708,0.572120147193,-0.468768408057,-0.134099564939,-0.516855756238,0.0152513593809,0.580405665623,-0.0854837797077,-0.27315310401,-0.50187810484,-0.0460486159928,0.517264033275,-0.533918579245,-0.251674980458,0.488665989644,-0.0862447096405,0.676424710785,0.678963808934
ey,0.713794287622,0.607099000504,-0.364525882663,0.336385210767,-0.119808779909,0.45741973354,-0.639917912324,-0.0493200209851,-0.023281498468,0.31685776387,0.361289409027,-0.712035239373,0.342452294961,0.40971502407,0.435911009098,0.520303293,0.697266392809,0.125545227009,0.308412556145,-0.236189485538,0.712814987068,-0.881076164866,0.365460717587,-0.641740744008,0.138144028736
aw,0.549109336762,-0.309073544227,0.106992820241,-0.453047784065,0.549239977887,-0.684745886347,-0.280268854097,0.434270869585,-0.0143023682423,-0.0176897107077,-0.059646663869,-0.141129898866,-0.558350914256,0.0428507680476,0.628772762802,0.0715103662315,0.381349611269,-0.56623712058,0.144254361169,-0.431235687993,0.507893019929,-0.527117547262,0.595612724514,-0.260900957069,-0.283571639431
ay,0.246847380894,0.603374102298,-0.11370214042,0.535342374886,-0.591107577745,0.0772276084606,0.182310100342,0.712472561469,-0.432565452846,-0.351524768039,0.823162984284,0.321599400112,-0.504351210209,-0.580067318192,0.489981280796,0.299836776041,0.555021413127,0.369415797785,-0.511829996248,-0.325974115884,-0.184309429058,-0.537061298901,0.389399793568,0.380150418627,-0.163131523868
zh,-0.168153021441,-0.438000823217,-0.206161161719,0.441899851192,0.110775235298,0.153604302234,-0.356660996161,-0.491771057952,-0.176099516074,-0.108887862492,0.218861111421,0.191359068171,-0.597986817157,0.0792693481076,-0.149009765274,-0.447858547388,-0.34313663323,-0.392740863994,0.34927837373,0.412558483834,0.241460435016,0.134619890041,0.276241725563,-0.0084288370903,-0.287825467155
tq,0.165844104759,0.0720941507763,-0.0345597883201,0.279601434669,0.830688864103,0.473190774986,0.0712652823645,-0.501656381743,-0.57570409415,0.620197721998,0.180700654561,-0.126300964416,-0.0924753469563,-0.426824521953,-0.577413712787,0.0991365013173,-0.464975120863,0.714592166718,-0.641471948339,0.0621768634455,-0.634801937387,0.671710140415,0.174869173985,0.621436277646,0.107173897898
er,-0.543732188189,0.384845892896,0.111804432792,0.0628758144049,0.0474080524088,0.0678640335337,-0.452209488826,-0.335935353077,0.443735212885,0.575544930824,0.530779491007,0.723783540947,0.139199486725,0.619736997661,-0.134007147986,0.38688682994,0.612072364172,0.42997978147,-0.594092355267,0.86387566423,-0.256247179931,-0.619326952577,0.529367115976,-0.48433621218,0.630438465411
#,0.039013750642,-0.0669835643048,0.0217591561376,0.028427156478,0.0139625662118,-0.0150901844034,0.0421206068403,-0.11934119362,0.0731255548435,0.0206318911831,0.0442543784089,-0.0996951480008,-0.0595045214406,-0.00937702784913,-0.0082919331799,0.0132710258237,0.108608988136,0.0145472035972,0.00837663804288,0.0741582816811,-0.00355758210456,-0.103594477016,0.0370193843766,-0.0414779253049,0.0257858116411
ayn,0.094511555705,-0.0758563616284,0.0497713442433,0.00353136526168,0.0339547289018,-0.112923798228,0.00309015895367,-0.10656514508,0.0627521161988,-0.0152077993353,0.115764614781,-0.18250011882,-0.0853881592467,0.00144529282893,0.0687858250548,0.0348246945029,0.265148382467,-0.0351390456327,-0.0271937729579,0.136503480257,-0.0616592333549,-0.24954416951,0.128024815354,-0.00448769979042,0.0400485316609
eng,0.0512388277379,-0.100198517106,0.0174982892855,-0.00720140203859,-0.0274486098552,0.0125084965311,0.0623394818855,-0.150780256759,0.162774436645,0.0906638349209,0.114504367266,-0.119978393808,-0.0242850300279,-0.0316159994911,0.0361607445418,-0.0743968246816,0.175305609129,0.0625191543356,-0.033023014635,0.0966461833585,-0.0411782218337,-0.117163008609,0.103168292865,-0.103698607807,0.00989993595736
aan,0.0554828522359,-0.202988636792,0.0468503440138,0.0277138598947,-0.137932329487,-0.116644793717,0.134368235556,-0.0873192973745,0.182077316957,0.173977389581,0.156805991991,-0.254118362561,-0.159182578622,0.151102308132,0.0856369618166,-0.00471492196505,0.304691658657,0.02994125947,-0.0676295958155,0.181893827727,0.0162635855211,-0.361320687635,0.115642750273,-0.0651933059278,0.0715393059263
eyn,0.123489787154,-0.0776433749088,0.0367542425743,-0.00168827970291,-0.0266923145895,-0.0785200243264,0.0449265695406,-0.149455167229,0.136359388595,-0.00662103791813,0.0880801353032,-0.182207023972,-0.0486790485583,0.0589009020144,0.1119655191,0.000452182815039,0.227965430204,0.00778281848527,-0.034145124512,0.167063805555,-0.0270831743502,-0.279463139052,0.128281280759,-0.0314045394104,0.0153388040286
nx,0.579003128363,-0.327465504677,-0.245004035662,-0.352312229982,0.694267059896,0.600346685702,0.634167408764,-0.617976440361,0.341645239125,-0.618520680358,-0.420166132278,-0.224492663307,-0.110522952979,-0.334054645815,0.589475783857,0.0732286251201,-0.60138452577,0.356289336229,0.515014220086,0.00053458323629,0.543680515693,0.68424166878,-0.656833828584,0.0162298333001,-0.333296995175
oyn,0.101239591917,-0.135666086317,0.0532075446868,0.013198361579,-0.0389155473807,-0.0384982971701,0.109964254706,-0.124052188278,0.170798862751,0.0718667036644,0.133700459082,-0.181447124754,-0.0654453432671,0.063762526039,0.0796378992613,0.00385811996304,0.175329980679,-0.0140725192295,0.0154816719007,0.14006179805,-0.0462676559567,-0.229825136516,0.100312751115,-0.039275088719,0.035494003713
r,-0.392254151353,0.395724066547,0.753454999138,-0.511053500586,0.0147826540886,0.544961233456,0.213301708396,0.0532317125255,0.597438503567,0.191319863936,0.259821502318,0.615741156411,-0.0255203687351,-0.177870809604,0.555296455381,-0.436916129101,-0.144835672159,-0.186840506381,0.303770345736,0.644305939018,-0.298272866064,-0.619969817267,-0.864404056282,0.543603543737,0.666968406945
th,-0.653640870496,-0.0428895998445,-0.51634428498,0.547391374998,0.725525715527,-0.240766882694,-0.224105187033,-0.0258633948139,-0.204389827908,0.0275221457083,-0.0738006654872,0.494178544237,0.243895958291,-0.23098885175,0.637402401763,-0.335709618532,0.354085100642,-0.0366688717223,0.227835975275,-0.67793271254,-0.187483219053,0.375248510505,0.122543882618,-0.594165360954,0.52672256476
t,-0.314966180331,0.317903107766,0.410343056695,0.449533755499,0.500629613541,0.369394370801,-0.537438288218,0.059709559043,0.678512863596,0.719144116858,0.411884054507,-0.518234461448,0.317946137178,-0.714698767634,-0.70629145837,0.58362364973,0.306886247399,-0.624398091901,-0.318711255645,-0.606276422643,0.129643085426,0.510790185409,-0.107683362158,0.0748881154375,0.657539011066
ehn,0.105204995981,-0.240153913963,0.199570606022,0.019233967311,-0.172235560706,-0.107100844463,0.0979190772263,-0.286259569718,0.213478976308,0.139641312557,0.222434123907,-0.358559819828,-0.19890246038,0.0635851194552,0.145196066917,0.0280260257707,0.304698205205,0.0949028711186,-0.0730176621842,0.147267595539,0.0961481651956,-0.273578905649,0.133760439194,-0.0970053859726,-0.0879444380969
<,0.2839488408,-0.27425904989,0.234267145191,0.275757411417,0.357264784097,-0.415970595831,0.0586470526591,-0.455948984488,0.0125661386424,0.415529758712,-0.349913647672,0.054598482057,0.108473470632,-0.460772510671,-0.294962790276,0.119675619306,0.244486429305,0.170081377734,-0.0721750261783,0.200083514168,0.267308901458,-0.405629510088,-0.0879497086012,0.211976642565,0.0223598385691
>,-0.119537454841,-0.279180721019,0.378223857492,0.455277605887,-0.163668260167,0.0868716840205,0.274588997161,-0.472304422902,0.254959317697,-0.116073799164,-0.280607831819,-0.131211829816,-0.400171294964,0.0147543481884,0.208792701912,0.289062041433,-0.0808110845252,-0.0759664283232,0.0328958852956,-0.170185296569,-0.0129047624036,-0.311838558399,0.0615758903605,-0.393175167377,-0.369707171109
ng,-0.00818360116939,-0.636750545145,-0.667266274976,-0.106658442746,-0.469934239903,0.574163616849,0.532317519772,0.246802294783,0.665096862311,0.589003664494,0.445581826479,0.0472723366701,0.669266438435,-0.333320739097,-0.219470335913,-0.365208318398,-0.622441939672,0.13325697205,-0.462624958742,0.136899087234,-0.0958138399603,-0.0305869165987,-0.258679885386,-0.494328436848,-0.237740617959
dh,-0.640812818997,0.388052064807,0.123694825097,0.472915097728,0.121404052084,-0.571729135758,0.428875478859,0.703733168436,0.431088618391,0.00588794669459,-0.642470397931,0.12148995086,0.558163804582,0.623282039989,0.0916054840095,0.716009421141,0.219997282097,0.710386190866,0.241951631007,-0.0536209194652,0.314057566953,0.524858268715,-0.543113354331,-0.652468853129,-0.35317447505
uhn,0.0435383199504,-0.0673314467986,0.0275149409219,0.0258117964525,0.0162204458234,-0.0161327523225,0.0505671373912,-0.119597647707,0.0793567028183,0.0230792413029,0.0548367767744,-0.106917765384,-0.0709084837368,0.0020993674827,-0.00388158607075,0.00888514177502,0.121721295369,0.0167372578168,1.81248419513e-05,0.0851284948865,-0.00149065478379,-0.134980917476,0.0350715397263,-0.0405384328449,0.0164212820371
