label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
iy,0.203901710723,-0.868323593004,0.694693724153,0.203361358895,-0.0687441185044,0.630221505589,-0.477556220845,-0.26839349849,-0.316766040453,-0.755241240199,0.326380575724,-0.443186990889,0.650179443105,0.630404552787,-0.679294597648,-0.499047801135,-0.4135360706,0.0667083957505,0.281275934064,0.577159784632
aa,-0.166006815829,0.322356147559,0.614942586233,-0.0936335433273,-0.770765227986,0.468149625494,0.313551460776,0.886700009643,-0.693847481254,0.250466615443,-0.678353005715,-0.512845276779,-0.208123126673,-0.286034372969,-0.546588178462,-0.490403693555,-0.853920290326,-0.0282700058876,0.17910954475,0.311054182396
en,-0.548288373903,-0.320789357995,-0.0829186348662,-0.109810492387,0.475263123963,-0.385673936956,0.612497226125,-0.302711289174,0.307565206197,0.337917784399,0.714023671084,0.552375169152,0.418616419702,0.291713205235,-0.423919051471,-0.632507473943,0.388645834736,-0.556190672033,0.541222514572,-0.279717905432
ae,0.757905291954,0.509559825851,-0.299128810097,-0.618376381527,-0.243746573226,-0.433171504959,0.561070359942,0.861051623737,-0.128334092769,-0.532246605138,0.67680867795,0.251290760048,-0.177752007035,0.951564588067,-0.0783949076709,-0.760626941021,-0.773039961228,-0.246968627721,0.335019762708,0.0353526847492
eh,0.212780215337,0.76846451334,-0.262138621064,-0.249666929972,-0.413961248386,-0.216523530285,-0.464670324145,0.655776565141,-0.184544654802,-0.391758538528,0.592927029836,0.257810511538,-0.140917606069,-0.497892232101,-0.866934080673,0.503462035786,-0.853445580084,0.753963935438,0.660157743175,0.649131667117
el,-0.634267824915,-0.459860764242,0.564243764716,0.313252924317,0.536001670514,0.661979359457,0.165571010254,-0.619475209212,-0.250129067763,0.0364495774426,0.101394807607,0.563073883035,-0.109897787864,0.330249220653,0.404089961883,0.00942341060405,-0.879966093526,-0.581607198434,0.0478908352014,-0.300347076819
ah,-0.189833780811,-0.695618919829,-0.715848047617,-0.597112631319,0.69071466468,-0.289873918407,0.0677502007602,0.473590722903,-0.518855410287,-0.241769461776,0.531319779273,-0.671766887524,0.313543083325,-0.951789136413,-0.0764813608641,-0.641352444193,-0.62146142165,0.160762881573,0.911256265105,-0.507911188415
ahn,-0.16912600682,-0.136640828517,0.274555097819,-0.0919691576001,-0.164543910239,0.103945137372,-0.101744521679,0.392466080092,0.0399030877646,0.146989250475,0.222008704223,0.0642404126525,0.0106719760594,0.166190154012,-0.0303179583949,0.152899016308,-0.287598448157,-0.215690488863,0.305908102286,-0.221537015899
ow,-0.403211608382,0.607499786801,0.453354862672,-0.566558110334,0.588893879183,0.387584895844,0.493620322555,0.0903374279426,0.401885912144,0.603810963027,0.314351552113,-0.257645919469,0.04634053376,0.116665589953,-0.729480481423,-0.292087720155,-0.640374700662,0.440602068035,-0.823232245442,0.0473578839046
ao,-0.636562062124,-0.372811240426,0.155875545751,0.00414100959337,0.564529844906,0.617816260486,0.414895093274,0.954836165193,0.437949699782,-0.153200170666,-0.639299392773,0.217160686565,-0.519220484221,-0.489097725208,-0.496920985553,0.557204829387,-0.407213394063,0.525914274788,0.563836509062,0.226009894226
