label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
iy,-0.0661854647037,-0.656613063484,-0.708936438097,0.706241240199,0.368348063789,0.773024577,-0.0322457296758,-0.744677324514,0.90542539424,0.0544189898198
aa,-0.0115616160917,0.84689385583,-0.420263112421,-0.0337711175103,0.129548522808,-0.0487451623558,0.872416581903,-1.08570075074,0.67215494391,0.393695382478
en,0.0890729477348,0.0528627949814,-0.154857279085,0.172299031393,0.387527745509,0.202437065393,0.301281913358,0.64166508322,-0.0466163021565,0.541870591215
ae,-0.82379725734,0.681355615785,-0.647699405828,0.556527486011,1.07942231438,0.183338020964,0.954901339322,-0.0995560699317,0.831660976693,-0.134651723009
eh,0.191072504635,0.679419621884,-0.342569884918,-0.27502728845,1.06794926783,0.658288133572,0.87584585955,-0.731908066199,0.82767165779,0.122870991817
el,0.380011881267,-0.105245836683,-0.581174966833,0.426702583691,0.179304672606,-0.14907832562,-0.796856597392,-0.428361189887,0.37679214137,0.818399947407
ah,-0.625807314481,0.554152226379,-0.62188658221,-0.270071514393,0.487432037345,0.624688119827,0.229346997959,-0.471900313112,0.548074066758,0.776753111684
ahn,0.0163029202485,0.145772645525,-0.284611113671,0.138184747189,0.376597769191,0.148095087125,0.041801225673,-0.276081113699,0.329072998287,0.34815390767
ow,-0.00524824311682,0.0562707153646,-0.572354126643,0.455720012439,0.352298142153,0.759844183509,0.604060687337,-0.960351229527,-0.707668691425,0.48087324768
ao,0.798471446352,0.304609272236,0.148989092018,0.247638837063,-0.339297470878,0.297164623399,1.03503884805,-0.78282166527,1.03264227145,0.899922615553
w,0.361741744722,-0.779272014462,0.606683733787,0.591430866581,-0.634230973042,-0.839360411048,0.254201366999,0.723127077574,-0.681541266146,0.124332965057
ih,0.267753731228,0.393974509138,-0.646225233096,0.103728501341,0.597620607062,1.11240967008,1.00231118784,0.488253085359,1.05337808275,0.856955999564
ch,0.648485932626,0.0775453987082,0.694338627193,-0.3350819604,-0.113540655646,-0.0334219372835,-0.292469633229,-0.339499121511,-0.275914969865,-0.369744677358
ey,-0.173883429371,0.359471277387,-0.431452144752,0.483668728911,0.608682246628,0.869047971699,-0.0683021899036,-0.349337229574,0.821297214168,-0.0412803502293
aw,-0.478604088443,0.250934036132,-0.782516153071,0.116551363901,0.747142424811,-0.275848413232,0.907265229334,-0.129356309437,0.516904844932,0.285179685835
ay,-0.506833835605,0.841673799283,-0.797304388548,0.854546273082,-0.725065589808,0.344368823144,0.628092532238,-0.342870387674,0.579165032208,-0.179590276831
zh,0.563780563479,-0.44327064896,0.0069456057697,-0.335213707293,0.130938985429,0.218898221998,-0.280689163063,0.18377604073,0.00429634237946,-0.196937709262
tq,0.15414189363,0.374702555984,-0.823032982266,-0.971906231987,-0.72352905329,0.719711980774,-0.714804896025,-0.588134301959,-0.818919516456,-0.603938402311
er,0.174049129323,0.36174293708,-0.282200748992,0.836496524244,1.00255122169,0.456951899787,-0.569089056274,-0.336212964409,0.397006954065,0.61568576069
#,0.128144671322,0.0335055714276,-0.12231589738,-0.0630600288767,0.144980585883,0.045422944535,-0.0271783988255,-0.015991834045,0.0865854977716,0.0862345742752
ayn,0.0638051668753,0.142425222822,-0.11245371,0.0880081079874,0.22299325014,0.126343819034,-0.00296158972676,-0.0495228011759,0.202625503089,0.145345122221
eng,0.184533816225,0.071626752968,-0.10172541434,-0.00306379919208,0.115865425611,0.0636475351275,-0.00604861673873,0.101399386671,0.23073545796,0.037533334598
aan,0.122840075497,0.276273579104,-0.320454111162,0.0883409395142,0.258375661946,0.192493811854,-0.0842201837103,-0.279970587137,0.385203948517,0.303687387303
eyn,0.149946952927,0.0756479531707,-0.237205995758,0.0561281213153,0.224683864687,0.111605916603,0.0796643514324,-0.0366262027292,0.265135543584,0.164985654302
nx,0.478719738552,-0.304595671772,-0.752956101962,-0.949204313067,-0.252869814063,-1.10043481708,-0.493943086862,0.580651211455,-0.669530461363,-0.77782688362
oyn,0.178326444967,0.134113433424,-0.229124740689,0.0131258673674,0.219450721654,-0.0264962056093,-0.0150794063373,-0.105967070324,0.205584299703,0.182016291407
r,0.748445955453,0.64778525453,-0.394472721241,0.338408689347,0.703444843999,-0.838902351432,-1.0095745431,0.387990448058,-0.15967106266,0.807365706522
th,0.161134914449,-0.250801231411,0.670285371338,-0.454678206591,-0.271869613053,0.0625129311989,-0.281028427403,0.00497352258384,0.0161461658567,-0.270557007676
t,0.311219381473,0.916142096625,0.758848580316,-0.118454964222,-0.207505616664,0.817677214449,-0.807150470557,0.256157620592,-0.868522994448,-0.0449840066858
ehn,0.0295203317957,0.194139918658,-0.296650863448,0.0770622783701,0.331831497864,0.0261983652939,0.143177064819,-0.147804356711,0.242545205899,0.228774373145
<,0.277792958901,-0.227367851059,-0.393993620543,0.104067228637,0.308836176141,-0.0325457602028,-0.166380992514,-0.192273751302,-0.105611684335,-0.0491667199287
>,0.192505398235,-0.27063382592,0.0483813768979,-0.0956582031087,0.29421529514,-0.246643726334,0.325869653334,0.0216927227407,0.0399591711341,0.144497287022
ng,0.740774327879,0.388236257091,-0.569739823617,-0.585471753426,-0.71668041103,0.398822425132,-0.784084748451,0.892113721418,0.921162221027,-0.530710527301
dh,-0.748851292547,-0.35859839488,0.81884431791,0.629654180347,0.199401871507,-0.762926162166,-0.780319409673,0.731396192793,-0.382461953527,-0.869039024341
uhn,0.13088425138,0.0291798386605,-0.143930313046,-0.0381476705889,0.1713797446,0.0430379891379,-0.0185483495864,-0.0333157674881,0.0871005448057,0.104730592089
aon,0.160666481419,0.0556040694038,-0.18095391077,0.0338025815086,0.175168668064,0.0729982757295,0.0179591513892,-0.108002566627,0.102405084056,0.142779258934
aen,-0.161716541146,0.447266982553,-0.0282141400028,0.188908272888,0.303391103212,0.00626000877035,0.300936016249,0.0407922597155,0.430964752747,0.350802671777
awn,0.0570746847669,0.0384026095225,-0.196443699194,0.0616749783668,0.199814222649,0.133570395418,0.0880293430833,-0.0461143244955,0.176234296965,0.129316307443
hh,-0.545557634161,-0.66274652139,0.645789083511,-0.785767600611,0.873401193249,-0.865772186899,-0.465129627727,-0.650476950203,-0.592972478033,-0.0179704034493
jh,0.555167290239,-0.515660151865,0.29905904314,-0.240296748599,0.036942987639,0.149672642495,-0.257877953567,0.270787038681,-0.239012648751,-0.359886251911
ahl,0.131126547134,0.0405112378165,-0.129852467789,-0.0568206492578,0.144973644053,0.0499903208934,-0.0210445439915,-0.0302428307335,0.102038888102,0.0947639325394
dx,0.767463511839,-1.0451035695,-0.802071178749,-0.720955095007,-0.823965428853,-0.519211080975,-0.572686386123,-0.116228966295,-0.790970571262,-0.683801852058
own,-0.0942912900211,0.182401989107,-0.735756935702,0.174400480246,0.337187522576,-0.0254510092543,0.54742398439,-0.201901641751,0.0874729035676,0.733963902953
em,-0.701483854731,-0.0803342476698,-0.348842975407,0.407619316069,0.604566187693,-0.365934761186,0.244495009196,-0.705368996735,-0.335993055484,0.073956463037
iyih,0.126422447187,0.0316709014997,-0.124663811213,-0.0615114725502,0.140196345971,0.0477732176897,-0.0254813983974,-0.0143007934289,0.0874704936864,0.0849798073948
b,-0.014288961443,-0.895687631413,0.421176002006,-0.596957846129,-0.414782592937,-0.636662674971,-0.274927583614,-0.171506463732,-0.217280996931,0.382171848314
d,0.203016521292,-0.521970942584,-0.105601179338,-0.630935138092,0.364750910014,0.699795905775,-0.644031170549,0.293562529509,-0.21526651355,-0.404887852555
g,0.861912511686,-0.390032278903,0.495187699878,-0.802183818439,0.271184513588,-0.452153525336,0.359313375248,0.587952076908,0.149665181036,-0.402196815366
f,0.430970990708,0.452345441378,0.707425042537,-0.484374203186,-0.65212162093,-0.371336744771,0.0123169679411,-0.0799191058782,-0.187336145083,-0.328608283875
h,0.131531138176,0.0303532405594,-0.110846533718,-0.0556514108678,0.14262779297,0.0406146218869,-0.0256748065268,-0.0105127556841,0.0812474413701,0.0802996121445
k,0.316574732592,-0.0482580065417,0.6036259361,-0.791591101881,-0.119904143899,0.940560368645,0.0858181880716,0.853706005226,-0.672148490001,-0.0398054180654
iyn,0.103423245775,-0.0951569609732,-0.154097360145,0.0119488677649,0.0881198343514,0.0950146948655,-0.01929515233,-0.112621439091,0.165697773634,0.102268132062
m,-0.647666758706,-0.0144048953157,-0.274865876689,-0.921274281733,-0.397191763998,-0.103648964858,-0.244658865731,0.506024547104,-0.585939086116,0.371961396217
l,0.320808241312,0.277164983995,-0.311511832778,-0.0541029819395,-0.337164868436,-0.60009695826,-0.678459426462,0.446182307685,-0.163706758806,0.852231872088
o,0.125129748346,0.0310634954679,-0.129288081382,-0.0602334631867,0.152899243871,0.0431320063493,-0.0185866646693,-0.0197421829328,0.0882176030305,0.0850927619692
n,0.153344829058,0.560773877834,-0.676403312682,-0.730583184356,0.48417612021,-0.0996395232747,0.0457377003722,0.814328978242,-0.717383230653,-0.667410926332
p,0.375734897656,-0.137340067455,0.757156459105,-0.690523410865,-0.440468446565,-0.821216051293,0.239560907982,-0.140497689732,-0.2277460569,0.364961630491
s,-0.529347999342,0.353504688671,0.576999423719,-0.63047741043,-0.112102572435,0.0783033100946,-0.62201894157,0.544610506866,0.499922288982,-0.552575943232
sh,0.611211011385,-0.403110909123,0.584215626516,-0.641702861273,-0.0632139749001,-0.102542712516,-0.699559723483,0.26933232204,0.217228480246,0.278171041016
