label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30
ey,-0.18230803422,0.585848534084,-0.42624618179,-0.455439363273,-0.106491255372,0.465519031922,-0.137360806873,0.449850933406,-0.125310641093,0.513399026464,-0.634597805492,-0.438253475788,-0.227980960205,0.330824672158,0.658638591094,0.476434803031,0.00359779001807,-0.445388723244,0.366753390851,-0.325564265975,0.626451884556,-0.51530635787,0.344949497268,0.0516019222681,-0.618542378732,0.47130278456,-0.455087289144,0.680196366406,-0.524630195199,0.320455440411
aw,-0.317798742651,0.260865383683,0.287812183108,-0.611995969117,0.304487937172,0.460170196349,-0.260279813385,0.458784982604,0.571936104248,0.446238167782,-0.351297997981,0.489414676663,-0.0235455047702,0.0670704818098,-0.215156072891,0.543752161974,0.69033340308,0.255735345834,0.521863682062,0.224782858428,-0.210147806832,0.581459951587,0.439653480733,0.175749177078,-0.269616558217,-0.180288193708,0.188941376305,0.574486665756,-0.405077595455,0.376743681424
ay,0.339877561117,0.639432434327,-0.22615468754,-0.753057154988,0.214415477305,0.654126974932,-0.597512050907,0.581896726151,-0.25242878353,0.634416988437,0.0226831603414,-0.548107070117,-0.581985211877,0.673344627108,0.421563079248,0.120514111255,0.381304438582,0.468378766205,0.26287292848,0.274259832647,0.553208017633,0.121643797727,-0.226228185439,0.658380563472,-0.00864962270107,0.690123279983,0.399291289726,0.704292114393,0.547570545588,-0.426468416382
zh,-0.195844023858,-0.179732349375,-0.170220095488,-0.129535538154,0.240599594179,-0.242779675688,-0.0526365055033,-0.0421299362871,0.155151847329,-0.116371395736,0.182212462212,0.2475381786,0.118514437466,0.174683161453,-0.00925497221504,-0.0304648524753,-0.0572179986509,0.233062891062,0.193539114052,0.0663163592029,0.138819656312,-0.0965321776154,-0.201271125438,-0.211422390015,-0.126380615845,-0.269823431101,0.0792815935758,-0.029229367953,0.0855555776631,-0.0847003500181
er,-0.244351827917,-0.0643534933726,0.352252047403,-0.710099323049,0.458793438376,0.272677648123,0.589719301851,-0.393140621563,0.493541388672,0.359951518585,0.568764667051,-0.396222939563,0.408877425905,-0.288258856153,0.460962756207,0.502668460745,0.000641125632991,-0.528113913445,-0.147235248579,-0.397452816724,0.31776052607,-0.500598980741,-0.584066623828,0.120543288053,0.159762635726,0.713940056281,0.376139087715,0.634717527255,-0.478690694938,0.50837416333
#,-0.680975013741,-0.506665794793,0.498842047106,0.622247350593,-0.121622974704,0.60041705445,0.630866481686,0.539169885449,-0.455874837954,0.685000561354,0.692252905994,0.599536171597,0.650304488146,0.431524905101,0.58066685706,-0.635478971516,-0.58680364326,0.482242918591,-0.673926501318,0.624133103903,-0.473378685246,-0.680775306155,-0.0953333070343,0.62219027006,0.614702074395,-0.696051572181,-0.583092264362,-0.762263690037,0.369928229734,0.579522183093
ng,-0.132034932949,0.30732627146,0.509970428983,-0.775171032384,0.551524073627,-0.71201754895,-0.546158107642,-0.315028417905,-0.530463030425,-0.48126564785,0.576373050699,0.54342362429,-0.634387654403,0.342194012227,0.634783957846,0.613281780081,-0.392954614059,-0.402247682031,0.0325247980535,-0.662747424139,0.363971737486,-0.677001208671,-0.663430932996,-0.533158019939,0.529943287145,-0.622681718277,0.610344899034,0.196319193692,-0.193992886867,-0.622510776984
r,0.519158319215,0.48538842854,0.0471192418446,-0.584441539868,-0.513774698025,-0.665227952419,0.528306307904,-0.00633370543511,-0.237243369522,-0.717561291636,0.611440801498,0.245523551622,0.42939142165,0.455793713409,-0.608953672727,-0.721109478427,0.593194269333,0.358713200174,0.408611051068,-0.507627198892,-0.405383484407,-0.561457858103,-0.563568663564,0.186150312674,-0.601496125783,-0.467172400412,0.729876686905,0.639373725883,-0.398318299422,0.529981055426
th,-0.351508001224,0.437691477357,-0.0736745001985,0.259692156501,-0.171450197607,0.0528345783348,-0.500529582554,-0.497877091949,-0.224901433036,-0.37494883745,0.12122850434,0.443684794428,-0.263660202913,0.44274688156,0.491694897255,0.390632969664,0.132053873442,0.261286414832,0.499731378305,-0.435254786911,0.364453545575,0.391742278693,0.215060960288,-0.417141216956,-0.0576430291341,-0.221354502761,0.289248128984,-0.309121066285,0.314922837276,-0.447649307904
t,-0.561422197456,0.517176269616,0.203998371155,-0.582264029536,0.468994220477,-0.53627874582,0.609868393837,-0.708037991375,-0.444209147522,0.374862094929,0.536423270425,0.631217203847,-0.628421173347,-0.42106047431,-0.459927321577,-0.568362115382,-0.528820415861,0.601129684749,0.462370542786,-0.641947140833,0.62494128067,0.498404626468,0.526028554508,-0.243451786626,-0.432814343213,0.270691769433,-0.427116869125,-0.53367836087,0.190348034229,-0.536856972036
