label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
iy,-0.846819931427,-0.333388156714,-0.0504465089838,-0.414901722141,-0.327077628047,0.864261607659,0.945052530707,0.100119602329,0.789679128153,-0.0846552936072
el,0.0206698146843,0.23688868446,0.257213133255,-0.734506438937,-0.579092368735,0.4024160269,0.460284454197,-0.656841527639,-0.0858607212467,-0.551884273233
aa,-0.382004787387,0.786409913219,-0.520078094441,0.512797152113,0.372243571286,0.28522602933,0.334849348858,0.716713148674,0.155891427519,0.685526198124
ch,-0.0750530845904,-0.547124209595,0.488039382803,0.0808101643299,-0.0491079908084,-0.35772188426,-0.493850921852,-0.344422654514,0.308140821207,-0.573172107149
ae,0.523386487303,1.05365695361,-0.841069389615,0.553665765745,-0.771958324396,0.695223725432,0.885392165601,0.654383462821,0.985513189904,0.325945781919
eh,-0.163495434153,0.484092935532,-0.72345646922,0.368183160039,0.588302770837,0.884656574788,0.533530230586,-0.297215547361,0.752002874438,0.924936228385
ah,0.163547902152,1.02088916735,-0.28735871308,-0.677549417974,0.892452612774,-0.18294586223,1.03084790061,0.148773129158,0.722429881591,0.501285093748
ao,-0.0286995053109,-0.0205354234407,0.0185082948173,0.142303374103,-0.0901732426594,-0.0113308182651,-0.0701119542869,-0.0244268218324,0.0400106771418,-0.15475215752
ih,0.624651852465,0.725230176394,-0.892921321455,0.680239140719,0.630359745935,0.994411123068,0.927447457741,0.513068477915,0.278465755119,0.126906774044
en,0.444223409207,0.724509371845,0.380168476231,-0.212452718461,-0.245368587825,0.293226721942,-0.375118679428,0.28931346682,0.222677149117,-0.310333499545
ey,-0.215648639184,0.170472557783,-0.622766656536,-0.0777384606932,-0.630512445668,0.145881703037,0.292155218609,-0.267958410336,1.0086225587,0.318185121022
aw,0.241903874665,0.598327124552,-0.175249545312,0.311490635962,-0.282303850355,0.079319456511,0.233935973821,0.726638503677,0.739053027517,-0.199334298986
ay,-0.451429590627,0.237589982905,-0.898124458967,-0.482057958861,-0.888512333248,-0.5592987357,0.667773324717,0.798315706615,0.717060609913,0.771019538405
zh,0.0948007686533,-0.246428432993,0.160498328246,-0.0512578242384,-0.00987777787453,0.0167369672644,-0.26818702785,-0.342197178989,-0.171225588026,-0.357128277858
er,0.380887182439,0.264933036033,-0.169046540733,-0.699354705276,-0.493089312787,0.661493116844,0.349744886987,-0.726930075837,0.370015387868,0.107550306631
#,0.962921194622,-1.07174068772,1.0486490698,-1.0190913089,0.976750501551,0.997351920271,-1.13370484655,0.733991153299,-1.09000646068,0.929317728715
ng,0.945073529163,-0.805785843347,-0.656013775341,-0.555172258076,-0.69935716952,-0.811255887452,0.824316478548,-0.921366569271,-0.916462268438,-0.966284140459
r,-0.561807996401,0.734211699706,0.289629950152,0.105721588001,-0.818941908817,0.762877408954,-0.827724844552,-0.655735548665,-0.688443479122,-0.859760340035
th,0.0423919623574,-0.532614876553,0.501273872317,0.504487072124,0.542067775995,-0.473855201964,0.29037631543,-0.844585271123,0.341300917474,-0.593681845361
t,0.573479612565,-0.910757258597,0.799689223976,0.771575500634,-0.813059664519,-0.888792086626,-0.553315353963,-0.889901349451,0.503335239758,0.652504854716
<,0.237573083422,-0.279317618444,0.320673140001,-0.0414216113103,0.0626306504056,0.257314207493,-0.227442058604,-0.149557258233,-0.257697279633,-0.241673912805
>,0.146948932652,-0.184671641193,0.0512057948154,0.157975185602,0.212990447536,0.250592186583,-0.370004011348,0.026247576719,-0.266894406942,-0.217652278589
w,-0.643278556267,-0.237193041481,-0.800229967778,-0.550223968527,0.182580398286,-0.854139271271,-0.895223960257,-0.222733833881,0.225036564861,-0.203193349271
dh,-0.928622437148,-0.738228616458,-0.523629866401,0.884594738258,-0.739464467104,-0.6807818904,-1.02143761632,0.647381699283,-0.863071022653,0.486801645891
y,0.120846405737,-0.884333424041,0.505013790076,0.863683049774,-0.851481124915,0.11439746386,-0.645604673592,0.550750355909,0.36507370401,-0.379582042034
hh,0.5352295264,-0.675746397476,-0.749996010219,0.827126035054,-0.593045067634,0.518073885468,-0.690070095669,0.57606664017,-0.339761983907,-0.602495308377
jh,0.071987445733,-0.2790341864,-0.205642530667,0.423768245204,0.372535935325,-0.349260641185,-0.123441685434,-0.616716539259,-0.249974014853,-0.555935810694
em,0.551025465021,-0.267168326336,-0.138065437259,0.546147305927,-0.787400699298,0.467737224531,0.368428812619,0.630464446358,0.599902129086,-0.674926614022
b,-0.302144770436,-0.767035254533,-0.645282990271,0.412234149561,0.607395653366,-0.274277696993,-0.416801020675,-0.67967335476,-0.498395396028,-0.0552918916632
d,0.116592082762,-0.850290940792,0.860439253609,0.597579670782,0.117483261536,-0.989257127039,0.850115253315,0.619369832406,-0.606091122184,-0.714898232364
g,0.0854142181982,0.344823746269,0.202534370869,0.674942995418,0.647586232994,-0.928492679052,-0.645525364205,-0.273901346974,-0.576120656615,-0.266728220879
f,0.086474641667,-0.48058805428,0.263222078696,0.80505014712,0.330936786993,-0.604106183327,-0.671986683086,-0.0440282472227,-0.015084911041,-0.935816574015
h,0.0361923571161,-0.115950176343,-0.0348037316137,0.170398956874,-0.147933547808,0.0518165147644,-0.158320180992,0.0404438372005,-0.00361407074721,-0.184093933559
k,0.772418068775,-0.362362458864,0.437829310141,0.451966322256,0.372215813708,-0.446402077172,-0.953620852031,0.194695467934,0.678108463829,-0.904774870791
m,-0.670258890518,-0.214482400101,0.31923283106,-0.178648488401,-0.00208909955993,-0.474247585732,-0.179364938308,0.546330220303,-0.742111447625,-0.75494620766
l,-0.239821792199,0.0528658095615,0.442828868417,0.69933313632,-0.173089625265,0.419871865718,-0.0876293534594,-0.68252441297,-0.79113677989,-0.672329872418
n,0.605120803911,0.712624013549,0.656354476756,0.448828456396,-0.32729315097,-0.560825060733,-0.391226231739,-0.793461521126,-0.911119573573,0.0744774469533
p,-0.681949223618,-0.496206458138,-0.159869138502,0.439140309413,0.587618375585,-0.271145350473,-0.831729154962,-0.634631719621,0.180160249907,-0.331503009123
s,0.636160371462,0.390534542922,-0.278327342888,-0.592871141215,-0.43853553368,-0.733861173476,-0.88271166122,0.256160901547,-0.53231437063,-0.608378324499
sh,0.177592430911,-0.709331109866,0.0790895451612,0.251085030025,-0.0541663201316,-0.311895906903,-0.557161318282,-0.450131613729,-0.0267734330789,-0.722328345045
uh,-0.482793870706,0.65372372959,-0.359655122492,-0.140158911397,-0.515677667906,0.65560099697,0.411100481441,-0.351939121094,-0.407267088241,0.749014925972
oy,-0.21522685865,0.298671520969,0.0309050304619,-0.00455283669286,-0.0524633215495,0.232926297433,0.350466647619,-0.081360932212,0.191011290727,-0.128319974886
