label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
iy,0.55669958749,-0.825108878973,-0.847553218989,0.132683347348,0.593747493322,0.290588333021,0.660378490953,0.693463707876,-0.112806359072,-0.782454777277,-0.878621679301,-0.780917030526,0.816694124529,0.801865196923,-0.100100805075
el,0.498764732712,0.243226583356,-0.680644404308,0.57989988645,-0.129722143031,0.443017050549,0.356429664324,-0.529864272593,0.135769867839,-0.0410301010757,-0.708579592411,-0.767931558845,0.169330707479,0.293850548235,0.591300892044
aa,0.660930444679,-0.0728545268979,-0.790718299191,-0.707579931796,0.398500407008,-0.322885375263,0.504830623272,0.459512729792,-0.503920933641,-0.722992084575,0.861388321166,-0.653852938244,-0.746939079693,0.122840543366,-0.634401555169
ch,0.170295326041,0.515230734926,0.314479773069,-0.176839712692,-0.572847870379,0.318462488451,-0.455070142462,0.357348761351,0.295292260698,0.639945089215,-0.647280732986,0.0842908716965,0.301415558604,-0.153402577076,0.59157274892
ae,-0.789256195669,-0.72417881314,-0.767230163946,-0.877963904161,0.877492807962,0.483426853318,0.213408228443,-0.104630286633,0.799125160498,-0.339926640084,-0.563793625456,0.313380278476,-0.50462543726,0.562914744221,-0.963166160887
eh,0.828417147901,-0.726969584029,-0.411743191395,-0.970874116347,1.03389088083,-0.311572845384,-0.345954551655,-0.3058579174,0.320498724064,-0.697857253401,0.361494645844,-0.635306161893,-0.182412727694,0.700933352126,-0.68651275421
ah,-0.214801048788,0.837562256294,-0.692988939013,-0.550532820084,0.580048270033,-0.355597456107,0.624164690642,-0.749537889376,-0.0329433727963,-0.88549350705,0.5075366687,-0.748943914194,0.602509211975,0.931346976573,-0.93429256455
ao,0.0950329853006,0.00723785573188,0.0237593440405,0.107110169082,0.0499416131048,0.170910974832,-0.0021871669993,0.147077877238,-0.0750961729169,-0.0961125371378,-0.0902177476565,0.0269772053813,0.0372744800167,-0.0143989489049,0.0872972416365
ih,0.182328013561,-0.5962376178,-0.827499559343,-0.371238124577,0.731865697989,0.504911665097,0.390354855126,-0.921523676144,-0.74737147003,-0.865696755879,0.484019029034,0.650382266724,-0.908498348904,0.846448455993,-0.654391071796
en,-0.355693460299,-0.0218659088122,0.0647405034241,0.107923812554,0.611577233301,0.294338530311,0.655248123431,0.147153350423,0.122535631884,0.533792641028,0.194301665455,-0.623760680236,-0.62270270361,0.483431161691,0.71458645541
ey,0.232410292045,0.171832159615,-0.887789615778,-0.861800138466,0.817845461987,0.586791436984,-0.0716015768771,0.268191556999,0.657298758383,-0.564133192453,-0.488495271074,-0.359899770853,0.316193732386,0.551374822163,0.581972995308
aw,-0.618623364207,0.0770663858833,-0.318862668988,-0.518253643562,-0.0266539060971,0.306887880255,0.418814481475,0.620617671069,-0.337461686646,-0.137455137421,-0.622417559963,-0.703624261123,-0.617435165355,0.705909075132,-0.352627072311
ay,-0.0699061387765,0.182053143899,-0.800216040394,-0.656079874627,0.813947748992,-0.567298619741,0.841967736629,0.652064443898,0.707336561364,-0.630790993535,-0.368080584879,0.156272465054,0.591487466597,-0.509046270155,-0.456766746415
zh,0.306686883704,-0.260578004263,0.09217255402,0.369193903631,-0.0602640155433,0.356428563035,-0.0349998172314,0.133439685482,-0.210523834731,0.268264641108,-0.349802132112,0.239107675803,-0.0227558284746,-0.085914842605,0.351115200308
